Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,953093,-,-,-,42.33,-85.18,-5,265,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2015,1,1,0,30,0,0,0,0,0,0,4,-12,160.47,0,0.866,7.2,0.374,253.3,67.29,-7,980,0.0000,0.0000
2015,1,1,1,30,0,0,0,0,0,0,4,-11,158.45000000000002,0,0.866,7,0.364,253.70000000000002,69.25,-7,980,0.0000,0.0000
2015,1,1,2,30,0,0,0,0,0,0,4,-11,150.73,0,0.866,6.9,0.353,251.9,70.81,-7,980,0.0000,0.0000
2015,1,1,3,30,0,0,0,0,0,0,4,-11,140.63,0,0.866,7,0.356,249.4,72.09,-7,980,0.0000,0.0000
2015,1,1,4,30,0,0,0,0,0,0,4,-11,129.72,0,0.866,7,0.356,245.3,72.69,-7,980,0.0000,0.0000
2015,1,1,5,30,0,0,0,0,0,0,4,-11,118.65,0,0.866,6.9,0.34800000000000003,237.8,72.8,-7,980,0.0000,0.0000
2015,1,1,6,30,0,0,0,0,0,0,7,-11,107.76,0,0.866,6.9,0.354,233.10000000000002,72.4,-7,980,0.0000,0.0000
2015,1,1,7,30,0,0,0,0,0,0,4,-11,97.35000000000001,0,0.866,7.1000000000000005,0.442,233.10000000000002,77.74,-8,980,0.0000,0.0000
2015,1,1,8,30,12,0,12,18,230,27,4,-11,87.7,4,0.866,7.4,0.5720000000000001,235.8,72.5,-7,980,0.0000,0.0000
2015,1,1,9,30,70,34,77,53,614,168,4,-10,79.19,4,0.866,8.1,0.627,240.9,69.18,-6,980,3.6710,2.8003
2015,1,1,10,30,124,144,169,74,757,304,4,-10,72.29,0,0.866,8.6,0.645,248.70000000000002,61.39,-4,980,8.4719,6.5399
2015,1,1,11,30,130,472,310,84,828,400,4,-9,67.53,4,0.866,8.700000000000001,0.6940000000000001,251.60000000000002,59.160000000000004,-3,980,16.2111,12.5890
2015,1,1,12,30,168,302,294,86,856,442,4,-9,65.39,0,0.866,8.700000000000001,0.77,253.5,57.11,-2,980,15.6359,12.1666
2015,1,1,13,30,157,336,293,80,856,426,4,-8,66.15,0,0.866,8.5,0.858,256,59.32,-2,980,15.4924,12.0468
2015,1,1,14,30,140,52,158,79,786,351,4,-8,69.71000000000001,0,0.866,7.9,0.937,257.7,61.53,-2,980,8.1096,6.2822
2015,1,1,15,30,92,239,152,69,647,230,4,-7,75.66,0,0.866,7.300000000000001,0.995,257.7,63.910000000000004,-2,980,7.3912,5.6733
2015,1,1,16,30,44,105,56,43,368,84,7,-7,83.46000000000001,4,0.866,6.6000000000000005,1.03,253.70000000000002,66.41,-2,980,0.0000,0.0000
2015,1,1,17,30,0,0,0,0,0,0,7,-6,92.62,0,0.866,6.1000000000000005,1.016,247.8,74.73,-2,980,0.0000,0.0000
2015,1,1,18,30,0,0,0,0,0,0,4,-6,102.7,0,0.866,6,0.9480000000000001,245.4,72.34,-2,980,0.0000,0.0000
2015,1,1,19,30,0,0,0,0,0,0,7,-5,113.4,0,0.126,5.800000000000001,0.872,246.10000000000002,74.9,-2,980,0.0000,0.0000
2015,1,1,20,30,0,0,0,0,0,0,4,-5,124.41,0,0.126,5.4,0.8230000000000001,249.20000000000002,76.68,-2,980,0.0000,0.0000
2015,1,1,21,30,0,0,0,0,0,0,4,-5,135.45,0,0.126,5.1000000000000005,0.801,250.10000000000002,84.03,-3,980,0.0000,0.0000
2015,1,1,22,30,0,0,0,0,0,0,4,-5,146.04,0,0.126,4.800000000000001,0.79,253.70000000000002,84.94,-3,980,0.0000,0.0000
2015,1,1,23,30,0,0,0,0,0,0,4,-4,155.18,0,0.126,4.1000000000000005,0.784,261.1,86.42,-3,980,0.0000,0.0000
2015,1,2,0,30,0,0,0,0,0,0,4,-4,160.37,0,0.126,3.1,0.783,269.3,87.73,-3,980,0.0000,0.0000
2015,1,2,1,30,0,0,0,0,0,0,4,-4,158.41,0,0.126,2.3000000000000003,0.785,279.1,87.99,-3,980,0.0000,0.0000
2015,1,2,2,30,0,0,0,0,0,0,4,-4,150.74,0,0.126,1.7000000000000002,0.78,287.3,87.21000000000001,-3,980,0.0000,0.0000
2015,1,2,3,30,0,0,0,0,0,0,4,-5,140.66,0,0.126,1.4000000000000001,0.754,292.6,92.52,-4,980,0.0000,0.0000
2015,1,2,4,30,0,0,0,0,0,0,4,-5,129.75,0,0.126,1.2000000000000002,0.716,298.2,89.89,-4,980,0.0000,0.0000
2015,1,2,5,30,0,0,0,0,0,0,4,-5,118.68,0,0.126,1.1,0.687,305.2,92.95,-5,980,0.0000,0.0000
2015,1,2,6,30,0,0,0,0,0,0,4,-6,107.79,0,0.126,1.1,0.669,305.5,88.48,-5,990,0.0000,0.0000
