Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,997291,-,-,-,45.01,-83.1,-5,176,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,GHI,Clearsky GHI,Solar Zenith Angle,Clearsky DNI,Clearsky DHI,Cloud Type,Fill Flag,Precipitable Water,Wind Direction,Global Horizontal UV Irradiance (295-385nm),Global Horizontal UV Irradiance (280-400nm)
2019,1,1,0,30,0,0,0,0.02,10,93,1,983,0,0,157.99,0,0,8,0,1.3,11,0.0000,0.0000
2019,1,1,1,30,0,0,-1,0.02,10.3,91.98,0.1,986,0,0,155.38,0,0,4,0,1.2000000000000002,4,0.0000,0.0000
2019,1,1,2,30,0,0,-2.5,0.02,10.3,92.92,-1.5,989,0,0,148,0,0,4,0,1,178,0.0000,0.0000
2019,1,1,3,30,0,0,-4.1000000000000005,0.02,10,92.89,-3.1,991,0,0,138.42000000000002,0,0,4,0,0.9,351,0.0000,0.0000
2019,1,1,4,30,0,0,-5.1000000000000005,0.02,9.700000000000001,92.44,-4.1000000000000005,993,0,0,128.01,0,0,4,0,0.9,345,0.0000,0.0000
2019,1,1,5,30,0,0,-5.6000000000000005,0.02,9.4,91.87,-4.5,996,0,0,117.43,0,0,4,0,0.8,344,0.0000,0.0000
2019,1,1,6,30,0,0,-5.9,0.02,9,91.01,-4.7,998,0,0,107.02,0,0,4,0,0.7000000000000001,344,0.0000,0.0000
2019,1,1,7,30,0,0,-6.5,0.02,8.4,88.88,-4.9,999,0,0,97.11,0,0,4,0,0.5,345,0.0000,0.0000
2019,1,1,8,30,13,42,-7.2,0.02,7.800000000000001,85.17,-5.1000000000000005,1000,15,28,87.71000000000001,281,17,4,71,0.4,346,0.0000,0.0000
2019,1,1,9,30,60,238,-7.6000000000000005,0.02,7.300000000000001,82.36,-5.1000000000000005,1001,101,159,79.99,709,36,4,100,0.30000000000000004,346,3.6700,4.8159
2019,1,1,10,30,98,292,-7.9,0.02,6.9,82.22,-5.300000000000001,1002,180,280,73.74,838,45,4,0,0.30000000000000004,347,6.8565,8.9025
2019,1,1,11,30,136,249,-8,0.02,6.6000000000000005,82.06,-5.4,1002,223,362,69.58,894,50,4,0,0.30000000000000004,347,8.8783,11.4590
2019,1,1,12,30,152,209,-7.9,0.02,6.300000000000001,83.59,-5.6000000000000005,1003,230,400,67.95,927,52,4,0,0.2,347,9.3036,11.9858
2019,1,1,13,30,143,239,-7.9,0.02,6.1000000000000005,84.47,-5.7,1003,228,379,69.04,910,53,4,0,0.2,348,9.1263,11.7715
2019,1,1,14,30,117,107,-7.9,0.02,5.9,85.27,-5.800000000000001,1004,149,304,72.72,857,49,7,0,0.2,350,5.7391,7.4394
2019,1,1,15,30,74,147,-7.9,0.02,5.5,86.81,-6.1000000000000005,1004,103,188,78.60000000000001,743,41,7,100,0.2,351,3.7544,4.9173
2019,1,1,16,30,22,11,-8.3,0.02,5,88.05,-6.7,1004,23,54,86.11,456,23,4,100,0.2,352,0.0000,0.0000
2019,1,1,17,30,0,0,-8.9,0.02,4.4,87.07000000000001,-7.1000000000000005,1005,0,0,95.22,0,0,8,0,0.30000000000000004,351,0.0000,0.0000
2019,1,1,18,30,0,0,-9.3,0.02,4.1000000000000005,85.07000000000001,-7.2,1005,0,0,105,0,0,4,0,0.30000000000000004,349,0.0000,0.0000
2019,1,1,19,30,0,0,-9.700000000000001,0.02,3.3000000000000003,84.14,-7.5,1005,0,0,115.32000000000001,0,0,4,0,0.30000000000000004,339,0.0000,0.0000
2019,1,1,20,30,0,0,-10.100000000000001,0.02,2.9000000000000004,81.73,-7.5,1004,0,0,125.89,0,0,7,0,0.30000000000000004,328,0.0000,0.0000
2019,1,1,21,30,0,0,-10.200000000000001,0.02,2.9000000000000004,81.29,-7.5,1004,0,0,136.37,0,0,7,0,0.30000000000000004,318,0.0000,0.0000
2019,1,1,22,30,0,0,-10,0.02,3.1,81.61,-7.4,1004,0,0,146.17000000000002,0,0,8,0,0.30000000000000004,315,0.0000,0.0000
2019,1,1,23,30,0,0,-9.9,0.02,3.2,81.71000000000001,-7.300000000000001,1004,0,0,154.14000000000001,0,0,4,0,0.30000000000000004,319,0.0000,0.0000
2019,1,2,0,30,0,0,-10,0.02,3.1,81.72,-7.4,1004,0,0,157.9,0,0,4,0,0.30000000000000004,321,0.0000,0.0000
2019,1,2,1,30,0,0,-10.4,0.02,2.7,79.73,-7.5,1004,0,0,155.35,0,0,4,0,0.30000000000000004,324,0.0000,0.0000
2019,1,2,2,30,0,0,-10.8,0.02,2.3000000000000003,77.8,-7.6000000000000005,1004,0,0,148,0,0,4,0,0.30000000000000004,333,0.0000,0.0000
2019,1,2,3,30,0,0,-11.200000000000001,0.02,1.6,75.86,-7.7,1004,0,0,138.44,0,0,4,0,0.30000000000000004,346,0.0000,0.0000
2019,1,2,4,30,0,0,-12.100000000000001,0.02,0.7000000000000001,70.91,-7.7,1003,0,0,128.04,0,0,4,0,0.30000000000000004,225,0.0000,0.0000
2019,1,2,5,30,0,0,-12.600000000000001,0.02,0.6000000000000001,67.26,-7.6000000000000005,1003,0,0,117.45,0,0,4,0,0.30000000000000004,137,0.0000,0.0000
2019,1,2,6,30,0,0,-12.200000000000001,0.02,1.4000000000000001,67.85,-7.300000000000001,1003,0,0,107.05,0,0,4,0,0.30000000000000004,177,0.0000,0.0000
2019,1,2,7,30,0,0,-11.4,0.02,1.9000000000000001,69.57000000000001,-6.800000000000001,1003,0,0,97.12,0,0,4,0,0.4,177,0.0000,0.0000
2019,1,2,8,30,3,0,-10.600000000000001,0.02,2.6,70.56,-6.1000000000000005,1003,3,27,87.71000000000001,244,17,4,71,0.5,181,0.0000,0.0000
2019,1,2,9,30,30,0,-9.5,0.02,3.4000000000000004,71.65,-5.2,1002,30,150,79.97,617,43,8,100,0.6000000000000001,186,1.0901,1.4304
2019,1,2,10,30,70,12,-8.200000000000001,0.02,4.1000000000000005,74.08,-4.3,1001,73,267,73.7,753,56,8,0,0.6000000000000001,192,2.7819,3.6118
2019,1,2,11,30,97,2,-7.4,0.02,4.6000000000000005,75.62,-3.7,1000,98,346,69.52,809,63,8,0,0.7000000000000001,196,3.9040,5.0385
2019,1,2,12,30,74,0,-6.9,0.02,4.800000000000001,77.01,-3.4000000000000004,998,74,375,67.87,815,68,4,0,0.7000000000000001,195,2.9956,3.8589
2019,1,2,13,30,37,0,-6.1000000000000005,0.02,5,79.52,-3.1,996,37,350,68.94,773,72,8,0,0.8,193,1.4825,1.9120
2019,1,2,14,30,59,1,-5.2,0.02,5.300000000000001,82.19,-2.6,995,59,276,72.60000000000001,679,73,8,0,0.8,191,2.2755,2.9491
