Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,953093,-,-,-,42.33,-85.18,-5,265,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2017,1,1,0,30,0,0,0,0,0,0,4,-5,160.42000000000002,0,0.126,2,0.525,273,82.82000000000001,-3,980,0.0000,0.0000
2017,1,1,1,30,0,0,0,0,0,0,1,-5,158.43,0,0.126,1.7000000000000002,0.531,269.3,88.38,-3,980,0.0000,0.0000
2017,1,1,2,30,0,0,0,0,0,0,1,-5,150.73,0,0.126,1.5,0.517,263.7,86.63,-4,980,0.0000,0.0000
2017,1,1,3,30,0,0,0,0,0,0,1,-6,140.64000000000001,0,0.126,1.5,0.503,256.1,91.25,-5,980,0.0000,0.0000
2017,1,1,4,30,0,0,0,0,0,0,1,-6,129.74,0,0.126,1.5,0.492,249.60000000000002,89.7,-5,980,0.0000,0.0000
2017,1,1,5,30,0,0,0,0,0,0,1,-6,118.66,0,0.126,1.7000000000000002,0.483,241.9,95.74000000000001,-6,980,0.0000,0.0000
2017,1,1,6,30,0,0,0,0,0,0,1,-6,107.78,0,0.126,2.1,0.47600000000000003,232,95.49,-6,980,0.0000,0.0000
2017,1,1,7,30,0,0,0,0,0,0,1,-6,97.36,0,0.126,2.9000000000000004,0.468,223.5,95.71000000000001,-5,980,0.0000,0.0000
2017,1,1,8,30,16,281,27,16,281,27,1,-6,87.7,0,0.126,3.9000000000000004,0.459,219.9,89.27,-4,980,0.0000,0.0000
2017,1,1,9,30,44,656,167,44,656,167,0,-5,79.19,0,0.126,4.3,0.452,219.9,80.36,-3,980,7.9617,6.0734
2017,1,1,10,30,57,803,301,57,803,301,1,-5,72.27,0,0.126,4.4,0.453,222.20000000000002,71.95,-1,980,15.0917,11.6505
2017,1,1,11,30,63,870,395,63,870,395,0,-5,67.5,0,0.126,4.2,0.464,229.70000000000002,65.4,0,980,20.6612,16.0452
2017,1,1,12,30,65,892,437,65,892,437,0,-5,65.35,0,0.126,3.6,0.485,234.3,61.550000000000004,1,980,23.2482,18.0904
2017,1,1,13,30,67,871,420,67,871,420,0,-5,66.1,0,0.126,3.3000000000000003,0.509,231.8,58.03,2,980,22.2161,17.2759
2017,1,1,14,30,62,827,350,62,827,350,0,-5,69.65,0,0.126,2.8000000000000003,0.531,220.70000000000002,59.11,2,980,17.9738,13.9248
2017,1,1,15,30,52,727,233,52,727,233,0,-4,75.59,0,0.126,1.8,0.55,210.70000000000002,67.96000000000001,1,980,11.3365,8.7028
2017,1,1,16,30,33,496,90,33,496,90,0,-3,83.39,0,0.126,1.1,0.5700000000000001,203.3,78.76,0,980,0.0000,0.0000
2017,1,1,17,30,0,0,0,0,0,0,8,-4,92.55,0,0.126,1,0.602,195.9,69.53,0,980,0.0000,0.0000
2017,1,1,18,30,0,0,0,0,0,0,8,-4,102.63,0,0.126,1,0.645,179.10000000000002,69.88,0,990,0.0000,0.0000
2017,1,1,19,30,0,0,0,0,0,0,8,-4,113.33,0,0.126,1,0.668,148.5,69.47,0,990,0.0000,0.0000
2017,1,1,20,30,0,0,0,0,0,0,8,-4,124.34,0,0.126,1.1,0.64,121.2,71.75,0,990,0.0000,0.0000
2017,1,1,21,30,0,0,0,0,0,0,1,-4,135.38,0,0.126,1.3,0.587,117.2,77.9,-1,990,0.0000,0.0000
2017,1,1,22,30,0,0,0,0,0,0,8,-4,145.97,0,0.126,1.6,0.56,118.5,75.03,-1,990,0.0000,0.0000
2017,1,1,23,30,0,0,0,0,0,0,8,-5,155.11,0,0.126,1.8,0.577,119,78.93,-2,990,0.0000,0.0000
2017,1,2,0,30,0,0,0,0,0,0,1,-5,160.32,0,0.126,1.9000000000000001,0.629,116.9,77.55,-2,990,0.0000,0.0000
2017,1,2,1,30,0,0,0,0,0,0,4,-5,158.39000000000001,0,0.126,2,0.706,111.10000000000001,82.47,-3,990,0.0000,0.0000
2017,1,2,2,30,0,0,0,0,0,0,1,-5,150.74,0,0.126,2.2,0.79,102.5,82.47,-3,990,0.0000,0.0000
2017,1,2,3,30,0,0,0,0,0,0,1,-5,140.67000000000002,0,0.126,2.5,0.861,95.5,83.28,-3,990,0.0000,0.0000
2017,1,2,4,30,0,0,0,0,0,0,1,-5,129.77,0,0.126,3,0.933,92.9,84.52,-3,980,0.0000,0.0000
2017,1,2,5,30,0,0,0,0,0,0,1,-4,118.7,0,0.126,3.3000000000000003,1.032,92.9,86.52,-3,980,0.0000,0.0000
