Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,953093,-,-,-,42.33,-85.18,-5,265,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2016,1,1,0,30,0,0,0,0,0,0,4,-8,160.49,0,0.866,4.6000000000000005,0.513,249.8,85.73,-5,980,0.0000,0.0000
2016,1,1,1,30,0,0,0,0,0,0,4,-8,158.46,0,0.866,4.6000000000000005,0.506,244.20000000000002,84.75,-6,980,0.0000,0.0000
2016,1,1,2,30,0,0,0,0,0,0,4,-7,150.72,0,0.866,4.9,0.491,245.3,79.7,-5,980,0.0000,0.0000
2016,1,1,3,30,0,0,0,0,0,0,4,-7,140.62,0,0.866,5.1000000000000005,0.485,246.4,81.06,-5,980,0.0000,0.0000
2016,1,1,4,30,0,0,0,0,0,0,4,-7,129.71,0,0.866,5.2,0.497,251.9,81.39,-5,980,0.0000,0.0000
2016,1,1,5,30,0,0,0,0,0,0,4,-7,118.64,0,0.866,4.9,0.516,256.40000000000003,81.67,-5,980,0.0000,0.0000
2016,1,1,6,30,0,0,0,0,0,0,4,-7,107.75,0,0.866,4.5,0.511,256,82.21000000000001,-5,980,0.0000,0.0000
2016,1,1,7,30,0,0,0,0,0,0,4,-7,97.34,0,0.866,4.7,0.47700000000000004,253.10000000000002,82.29,-5,980,0.0000,0.0000
2016,1,1,8,30,2,0,2,20,118,25,4,-7,87.69,4,0.866,5.1000000000000005,0.449,254.8,77.75,-4,980,0.0000,0.0000
2016,1,1,9,30,15,0,15,70,493,162,4,-6,79.19,4,0.866,5.6000000000000005,0.443,255,80.5,-4,980,0.7151,0.5455
