Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,984357,-,-,-,43.01,-83.7,-5,232,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2016,1,1,0,30,0,0,0,0,0,0,4,-5,159.96,0,0.866,5.300000000000001,0.533,253.5,79.87,-3,990,0.0000,0.0000
2016,1,1,1,30,0,0,0,0,0,0,4,-6,157.31,0,0.866,5.1000000000000005,0.531,253.8,82.78,-4,990,0.0000,0.0000
2016,1,1,2,30,0,0,0,0,0,0,4,-6,149.44,0,0.866,4.9,0.523,251.5,81.07000000000001,-4,990,0.0000,0.0000
2016,1,1,3,30,0,0,0,0,0,0,4,-6,139.39000000000001,0,0.866,4.9,0.506,250,80.43,-4,990,0.0000,0.0000
2016,1,1,4,30,0,0,0,0,0,0,4,-6,128.58,0,0.866,5,0.491,251.20000000000002,80.51,-4,990,0.0000,0.0000
2016,1,1,5,30,0,0,0,0,0,0,4,-6,117.63,0,0.866,4.9,0.495,252.3,80.05,-4,990,0.0000,0.0000
2016,1,1,6,30,0,0,0,0,0,0,4,-7,106.89,0,0.866,4.9,0.514,253.60000000000002,83.95,-4,990,0.0000,0.0000
2016,1,1,7,30,0,0,0,0,0,0,4,-7,96.64,0,0.866,4.800000000000001,0.516,256.2,81.86,-4,980,0.0000,0.0000
2016,1,1,8,30,14,0,14,23,148,31,4,-7,87.19,4,0.866,5,0.493,256.3,76.04,-4,990,0.0000,0.0000
2016,1,1,9,30,72,18,75,72,487,166,4,-7,78.93,4,0.866,5.800000000000001,0.47500000000000003,257.6,73.65,-3,990,3.5773,2.7299
2016,1,1,10,30,123,36,134,103,634,296,4,-7,72.31,4,0.866,6.4,0.47600000000000003,263.3,72.85000000000001,-3,990,6.7161,5.1843
2016,1,1,11,30,157,70,184,118,712,387,4,-7,67.85,0,0.866,6.5,0.482,264.2,71.46000000000001,-3,990,9.5966,7.4499
