Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,984357,-,-,-,43.01,-83.7,-5,232,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2017,1,1,0,30,0,0,0,0,0,0,4,-6,159.89000000000001,0,0.137,3.2,0.499,256.2,85.67,-4,980,0.0000,0.0000
2017,1,1,1,30,0,0,0,0,0,0,8,-6,157.29,0,0.137,2.8000000000000003,0.519,255.3,85.77,-4,980,0.0000,0.0000
2017,1,1,2,30,0,0,0,0,0,0,4,-6,149.45000000000002,0,0.137,2.3000000000000003,0.519,255,84.55,-4,980,0.0000,0.0000
2017,1,1,3,30,0,0,0,0,0,0,4,-6,139.41,0,0.137,1.9000000000000001,0.513,251.20000000000002,88.81,-5,980,0.0000,0.0000
2017,1,1,4,30,0,0,0,0,0,0,1,-6,128.61,0,0.137,1.9000000000000001,0.508,248.3,94.37,-6,980,0.0000,0.0000
2017,1,1,5,30,0,0,0,0,0,0,1,-6,117.66,0,0.137,1.9000000000000001,0.498,244.8,93.91,-6,980,0.0000,0.0000
2017,1,1,6,30,0,0,0,0,0,0,1,-7,106.91,0,0.137,2.2,0.492,237.20000000000002,100,-7,980,0.0000,0.0000
2017,1,1,7,30,0,0,0,0,0,0,1,-6,96.66,0,0.137,2.9000000000000004,0.498,228.8,93.72,-6,990,0.0000,0.0000
2017,1,1,8,30,18,313,33,18,313,33,1,-6,87.2,0,0.137,3.8000000000000003,0.507,222.3,87.39,-5,990,0.0000,0.0000
2017,1,1,9,30,44,664,171,44,664,171,0,-6,78.92,0,0.137,4.3,0.512,219.4,73.89,-2,990,8.1564,6.2244
2017,1,1,10,30,56,802,300,56,802,300,0,-5,72.28,0,0.137,4.800000000000001,0.512,220,68.28,0,990,15.0402,11.6105
2017,1,1,11,30,62,862,388,62,862,388,0,-4,67.81,0,0.137,5,0.511,231.60000000000002,64.31,1,990,20.2431,15.7155
2017,1,1,12,30,65,882,424,65,882,424,0,-5,65.97,0,0.137,4.6000000000000005,0.516,235.70000000000002,59.370000000000005,2,990,22.4503,17.4601
2017,1,1,13,30,67,853,401,67,853,401,0,-5,66.99,0,0.137,3.9000000000000004,0.53,237.20000000000002,59.29,2,990,21.0623,16.3650
2017,1,1,14,30,62,802,327,62,802,327,0,-4,70.74,0,0.137,2.9000000000000004,0.55,233.8,60.08,2,990,16.6288,12.8649
2017,1,1,15,30,51,688,208,51,688,208,0,-3,76.81,0,0.137,1.8,0.5690000000000001,223.10000000000002,70.25,1,990,10.0252,7.6788
2017,1,1,16,30,28,425,68,28,425,68,1,-3,84.67,0,0.137,1.4000000000000001,0.581,208.8,81.12,0,990,0.0000,0.0000
2017,1,1,17,30,0,0,0,0,0,0,0,-5,93.83,0,0.137,1.4000000000000001,0.593,201.8,72.18,-1,990,0.0000,0.0000
2017,1,1,18,30,0,0,0,0,0,0,8,-4,103.88,0,0.137,1.3,0.611,198.60000000000002,76.42,-1,990,0.0000,0.0000
2017,1,1,19,30,0,0,0,0,0,0,8,-4,114.52,0,0.137,1.2000000000000002,0.645,196.3,77.98,-1,990,0.0000,0.0000
2017,1,1,20,30,0,0,0,0,0,0,4,-4,125.43,0,0.137,1,0.6950000000000001,190,78.48,0,990,0.0000,0.0000
2017,1,1,21,30,0,0,0,0,0,0,8,-4,136.32,0,0.137,1,0.72,175.10000000000002,79.23,0,990,0.0000,0.0000
2017,1,1,22,30,0,0,0,0,0,0,8,-4,146.66,0,0.137,1,0.6920000000000001,160.5,78.4,-1,990,0.0000,0.0000
2017,1,1,23,30,0,0,0,0,0,0,8,-4,155.35,0,0.137,1.2000000000000002,0.644,142.70000000000002,76.15,-1,990,0.0000,0.0000
2017,1,2,0,30,0,0,0,0,0,0,4,-5,159.8,0,0.137,1.3,0.612,131.9,79.65,-2,990,0.0000,0.0000
2017,1,2,1,30,0,0,0,0,0,0,8,-5,157.25,0,0.137,1.3,0.606,122.7,84.26,-3,990,0.0000,0.0000
2017,1,2,2,30,0,0,0,0,0,0,1,-5,149.46,0,0.137,1.4000000000000001,0.624,109.5,83.56,-3,990,0.0000,0.0000
2017,1,2,3,30,0,0,0,0,0,0,1,-5,139.43,0,0.137,1.7000000000000002,0.652,96,82.9,-3,990,0.0000,0.0000
