Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2018,1,1,0,30,0,0,0,0,0,0,8,-17.2,159.93,0,0.51,2.9,0.2,274,80.18,-14.5,1004,0,0
2018,1,1,1,30,0,0,0,0,0,0,7,-16.7,157.31,0,0.51,3,0.2,280,83.03,-14.5,1004,0,0
2018,1,1,2,30,0,0,0,0,0,0,4,-16.9,149.46,0,0.51,3,0.2,284,83.48,-14.7,1004,0,0
2018,1,1,3,30,0,0,0,0,0,0,8,-17.2,139.42,0,0.51,3.1,0.2,284,84.49,-15.2,1004,0,0
2018,1,1,4,30,0,0,0,0,0,0,8,-17.9,128.61,0,0.51,3.3,0.2,283,83.52,-15.7,1003,0,0
2018,1,1,5,30,0,0,0,0,0,0,8,-18.2,117.66,0,0.51,3.5,0.2,283,81.56,-15.8,1004,0,0
2018,1,1,6,30,0,0,0,0,0,0,8,-18.3,106.92,0,0.51,3.7,0.2,283,80.79,-15.8,1004,0,0
2018,1,1,7,30,0,0,0,0,0,0,4,-18.7,96.66,0,0.51,3.7,0.2,281,80.46,-16.1,1004,0,0
2018,1,1,8,30,19,168,28,22,350,41,4,-19.2,86.95,86,0.51,4.2,0.2,278,73.58,-15.6,1004,0,0
2018,1,1,9,30,47,538,151,46,721,186,4,-18.3,78.84,100,0.51,5.5,0.2,283,70.13,-14,1005,7.2038,5.4981
2018,1,1,10,30,55,732,278,62,845,320,4,-17.3,72.23,0,0.51,6.4,0.2,292,68.11,-12.6,1005,13.9438,10.7649
2018,1,1,11,30,57,836,373,72,898,412,4,-17,67.78,0,0.51,6.5,0.2,298,65.17,-11.8,1005,19.4653,15.1122
2018,1,1,12,30,124,493,325,77,914,449,4,-16.9,65.95,0,0.51,6.2,0.2,300,64.06,-11.5,1004,17.211,13.3856
2018,1,1,13,30,102,583,330,76,900,428,4,-16.8,66.97,0,0.51,5.8,0.2,301,64.03,-11.3,1004,17.3359,13.4699
2018,1,1,14,30,132,197,197,68,835,344,4,-16.5,70.72,0,0.51,5.4,0.3,301,65.37,-11.3,1005,10.0198,7.752
2018,1,1,15,30,87,152,122,56,725,222,4,-16.3,76.76,100,0.51,4.9,0.3,298,67.6,-11.5,1005,5.8822,4.5059
2018,1,1,16,30,34,33,37,33,462,77,4,-16.1,84.53,100,0.51,4.2,0.3,291,71.97,-12.1,1006,0,0
2018,1,1,17,30,0,0,0,0,0,0,4,-16.4,93.86,0,0.51,3.8,0.3,284,75.09,-12.9,1006,0,0
