Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,844924,-,-,-,46.45,-90.18,-5,454,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Fill Flag,Precipitable Water,Wind Direction,Solar Zenith Angle,Global Horizontal UV Irradiance (295-385nm),Global Horizontal UV Irradiance (280-400nm)
2016,1,1,0,30,0,0,-10,0.866,2.3000000000000003,84.58,-9,960,0,0,0,0,4,0,0.392,269,155.61,0.0000,0.0000
2016,1,1,1,30,0,0,-10,0.866,2.3000000000000003,85.29,-9,960,0,0,0,0,4,0,0.383,267.7,156,0.0000,0.0000
2016,1,1,2,30,0,0,-10,0.866,2.3000000000000003,85.12,-9,960,0,0,0,0,4,0,0.385,267.2,150.86,0.0000,0.0000
2016,1,1,3,30,0,0,-10,0.866,2.3000000000000003,90.59,-9,960,0,0,0,0,4,0,0.421,267.2,142.48,0.0000,0.0000
2016,1,1,4,30,0,0,-10,0.866,2.3000000000000003,89.09,-9,960,0,0,0,0,4,0,0.487,266.5,132.7,0.0000,0.0000
2016,1,1,5,30,0,0,-10,0.866,2.2,86.26,-10,960,0,0,0,0,4,0,0.538,260.1,122.43,0.0000,0.0000
2016,1,1,6,30,0,0,-11,0.866,2,90.36,-10,960,0,0,0,0,8,0,0.5760000000000001,253.3,112.16,0.0000,0.0000
2016,1,1,7,30,0,0,-11,0.866,2,87.43,-10,960,0,0,0,0,8,0,0.625,242.9,102.22,0.0000,0.0000
2016,1,1,8,30,0,0,-11,0.866,2,85.81,-11,960,0,0,0,0,8,0,0.677,231.8,92.93,0.0000,0.0000
2016,1,1,9,30,35,367,-11,0.866,2.1,86.42,-10,950,69,35,367,69,8,4,0.709,219.3,84.62,0.0000,0.0000
2016,1,1,10,30,62,618,-11,0.866,2.1,82.74,-9,950,194,62,618,194,8,4,0.6900000000000001,208.10000000000002,77.71000000000001,7.1100,9.2979
2016,1,1,11,30,78,728,-10,0.866,2.1,81.74,-8,950,296,78,728,296,1,0,0.617,215.20000000000002,72.65,11.4098,14.7886
2016,1,1,12,30,135,35,-9,0.866,2.2,82.60000000000001,-7,950,147,92,756,352,4,0,0.534,235,69.88,5.8348,7.5336
2016,1,1,13,30,138,29,-8,0.866,2.1,82.15,-7,950,149,101,732,355,4,4,0.47900000000000004,239.70000000000002,69.69,5.9256,7.6490
2016,1,1,14,30,120,24,-8,0.866,1.9000000000000001,85.73,-6,950,127,99,670,304,4,4,0.451,244.70000000000002,72.11,4.9242,6.3771
2016,1,1,15,30,84,11,-7,0.866,1.7000000000000002,87.9,-6,950,87,83,548,208,4,4,0.435,250.8,76.87,3.2101,4.1915
2016,1,1,16,30,35,0,-7,0.866,1.5,88.28,-6,950,35,49,306,84,4,4,0.418,254,83.55,0.0000,0.0000
2016,1,1,17,30,0,0,-7,0.866,1.6,85.88,-7,960,0,0,0,0,4,0,0.399,260.5,91.68,0.0000,0.0000
2016,1,1,18,30,0,0,-7,0.866,1.7000000000000002,86.07000000000001,-7,960,0,0,0,0,4,0,0.393,269.2,100.86,0.0000,0.0000
2016,1,1,19,30,0,0,-7,0.866,1.8,86.97,-7,960,0,0,0,0,4,0,0.417,275.40000000000003,110.72,0.0000,0.0000
2016,1,1,20,30,0,0,-7,0.866,1.8,87.17,-7,960,0,0,0,0,4,0,0.486,276,120.97,0.0000,0.0000
2016,1,1,21,30,0,0,-7,0.866,1.9000000000000001,87.37,-6,960,0,0,0,0,4,0,0.552,277.5,131.25,0.0000,0.0000
2016,1,1,22,30,0,0,-7,0.866,2,88.62,-6,960,0,0,0,0,1,0,0.588,281,141.14000000000001,0.0000,0.0000
2016,1,1,23,30,0,0,-7,0.866,2,89.05,-6,960,0,0,0,0,1,0,0.618,277.8,149.78,0.0000,0.0000
2016,1,2,0,30,0,0,-7,0.866,2,87.12,-7,960,0,0,0,0,1,0,0.602,271.7,155.5,0.0000,0.0000
2016,1,2,1,30,0,0,-8,0.866,2.1,90.84,-7,960,0,0,0,0,4,0,0.559,267.90000000000003,155.94,0.0000,0.0000
2016,1,2,2,30,0,0,-8,0.866,2.1,86.19,-8,960,0,0,0,0,8,0,0.546,262.6,150.85,0.0000,0.0000
2016,1,2,3,30,0,0,-9,0.866,2,88.46000000000001,-8,960,0,0,0,0,4,0,0.545,258.1,142.5,0.0000,0.0000
2016,1,2,4,30,0,0,-10,0.866,1.9000000000000001,90.64,-9,960,0,0,0,0,8,0,0.543,253.5,132.73,0.0000,0.0000
2016,1,2,5,30,0,0,-11,0.866,1.9000000000000001,92.07000000000001,-10,950,0,0,0,0,8,0,0.549,244,122.46000000000001,0.0000,0.0000
2016,1,2,6,30,0,0,-11,0.866,2,87.9,-11,950,0,0,0,0,8,0,0.554,235.4,112.18,0.0000,0.0000
2016,1,2,7,30,0,0,-11,0.866,2.2,85.71000000000001,-11,950,0,0,0,0,8,0,0.5650000000000001,228.60000000000002,102.24000000000001,0.0000,0.0000
2016,1,2,8,30,0,0,-12,0.866,2.4000000000000004,85.18,-11,950,0,0,0,0,4,0,0.59,222,92.93,0.0000,0.0000
2016,1,2,9,30,29,471,-11,0.866,2.6,81.07000000000001,-10,950,73,29,471,73,4,4,0.606,221.20000000000002,84.61,0.0000,0.0000
2016,1,2,10,30,51,699,-10,0.866,2.7,84.18,-8,950,200,51,699,200,4,4,0.6,230.70000000000002,77.68,7.3315,9.5871
2016,1,2,11,30,65,788,-8,0.866,2.8000000000000003,80.32000000000001,-7,950,301,65,788,301,1,0,0.629,239.20000000000002,72.60000000000001,11.6089,15.0454
2016,1,2,12,30,56,769,-7,0.866,3,80.8,-6,950,322,72,824,357,8,0,0.637,250.5,69.8,12.7914,16.5139
2016,1,2,13,30,73,836,-7,0.866,3,85.28,-5,950,365,73,836,365,1,0,0.527,258.6,69.60000000000001,14.5289,18.7524
2016,1,2,14,30,70,797,-6,0.866,2.9000000000000004,89.06,-5,950,317,70,797,317,1,0,0.466,264,72,12.3056,15.9340
2016,1,2,15,30,60,688,-6,0.866,2.8000000000000003,85.65,-5,950,218,60,688,218,0,0,0.525,267.5,76.75,8.0523,10.5116
2016,1,2,16,30,38,460,-5,0.866,2.8000000000000003,87.72,-4,950,91,38,460,91,1,0,0.551,274,83.42,0.0000,0.0000
2016,1,2,17,30,0,0,-5,0.866,2.9000000000000004,89.42,-4,950,0,0,0,0,4,0,0.529,285.1,91.55,0.0000,0.0000
2016,1,2,18,30,0,0,-5,0.866,2.9000000000000004,92.45,-4,950,0,0,0,0,4,0,0.512,298.40000000000003,100.72,0.0000,0.0000
2016,1,2,19,30,0,0,-4,0.866,3,92.8,-4,950,0,0,0,0,4,0,0.501,314,110.59,0.0000,0.0000
2016,1,2,20,30,0,0,-5,0.866,2.9000000000000004,89.93,-4,950,0,0,0,0,4,0,0.483,326.3,120.83,0.0000,0.0000
2016,1,2,21,30,0,0,-6,0.866,2.8000000000000003,85.60000000000001,-5,950,0,0,0,0,4,0,0.465,335.8,131.11,0.0000,0.0000
2016,1,2,22,30,0,0,-6,0.866,2.6,88.64,-5,960,0,0,0,0,4,0,0.456,340.40000000000003,141,0.0000,0.0000
2016,1,2,23,30,0,0,-6,0.866,2.5,86.82000000000001,-5,960,0,0,0,0,4,0,0.446,341.8,149.65,0.0000,0.0000
2016,1,3,0,30,0,0,-7,0.866,2.4000000000000004,85.24,-5,960,0,0,0,0,4,0,0.438,340.5,155.39000000000001,0.0000,0.0000
