Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Fill Flag,Precipitable Water,Wind Direction,Solar Zenith Angle,Global Horizontal UV Irradiance (295-385nm),Global Horizontal UV Irradiance (280-400nm)
2018,1,1,0,30,0,0,-21.1,0.68,2.5,92.09,-20.1,981,0,0,0,0,4,0,0.2,294,155.55,0,0
2018,1,1,1,30,0,0,-21,0.68,2.4,92.29,-20.1,982,0,0,0,0,4,0,0.2,295,155.97,0,0
2018,1,1,2,30,0,0,-21,0.68,2.3,92.11,-20,982,0,0,0,0,4,0,0.2,295,150.86,0,0
2018,1,1,3,30,0,0,-20.8,0.68,2.3,92.4,-19.9,982,0,0,0,0,4,0,0.2,294,142.5,0,0
2018,1,1,4,30,0,0,-20.7,0.68,2.3,92.27,-19.8,982,0,0,0,0,4,0,0.2,293,132.72,0,0
2018,1,1,5,30,0,0,-20.7,0.68,2.3,92.27,-19.8,983,0,0,0,0,4,0,0.2,293,122.46,0,0
2018,1,1,6,30,0,0,-20.7,0.68,2.3,92.42,-19.8,983,0,0,0,0,4,0,0.2,293,112.19,0,0
2018,1,1,7,30,0,0,-20.7,0.68,2.2,92.92,-19.8,983,0,0,0,0,4,0,0.2,292,102.25,0,0
2018,1,1,8,30,0,0,-20.6,0.68,2.2,92.14,-19.7,984,0,0,0,0,4,0,0.2,291,92.95,0,0
2018,1,1,9,30,35,97,-20.6,0.68,2.2,91.01,-19.5,984,44,29,552,82,4,100,0.2,287,84.47,0,0
2018,1,1,10,30,76,262,-20.3,0.68,2.3,89.43,-19,984,132,45,777,211,4,100,0.2,283,77.63,4.8406,6.3292
2018,1,1,11,30,114,246,-19.8,0.68,2.4,89.13,-18.5,984,188,53,871,314,4,0,0.2,280,72.58,7.2523,9.3989
2018,1,1,12,30,72,669,-19.5,0.68,2.5,88.25,-18,983,303,57,910,371,4,0,0.2,277,69.81,12.0354,15.5381
2018,1,1,13,30,61,776,-19.1,0.68,2.5,87.32,-17.5,983,331,56,915,375,4,0,0.2,274,69.61,13.1742,17.0041
2018,1,1,14,30,56,862,-18.7,0.68,2.4,87.49,-17.1,983,322,52,886,326,0,0,0.2,273,72.01,12.4984,16.1838
2018,1,1,15,30,42,712,-18.4,0.68,2.3,89.03,-17,983,205,44,808,229,4,100,0.2,270,76.74,7.5728,9.8855
2018,1,1,16,30,36,354,-18.4,0.68,2.2,92.54,-17.5,983,77,30,621,102,8,100,0.2,264,83.35,0,0
2018,1,1,17,30,0,0,-19,0.68,2.2,93.29,-18.2,983,0,0,0,0,8,0,0.3,261,91.62,0,0
2018,1,1,18,30,0,0,-19.4,0.68,2.3,92.46,-18.5,982,0,0,0,0,8,0,0.3,261,100.79,0,0
2018,1,1,19,30,0,0,-19.7,0.68,2.3,93.97,-19,982,0,0,0,0,8,0,0.3,259,110.66,0,0
2018,1,1,20,30,0,0,-20,0.68,2.3,92.96,-19.1,981,0,0,0,0,8,0,0.3,256,120.89,0,0
2018,1,1,21,30,0,0,-20,0.68,2.4,93.57,-19.2,981,0,0,0,0,7,0,0.2,254,131.18,0,0
2018,1,1,22,30,0,0,-20.1,0.68,2.5,92.98,-19.3,980,0,0,0,0,7,0,0.2,252,141.06,0,0
2018,1,1,23,30,0,0,-20.4,0.68,2.6,92.48,-19.5,979,0,0,0,0,7,0,0.2,249,149.71,0,0
2018,1,2,0,30,0,0,-20.6,0.68,2.6,92.16,-19.7,978,0,0,0,0,6,0,0.2,248,155.44,0,0
2018,1,2,1,30,0,0,-20.8,0.68,2.7,92.44,-19.9,978,0,0,0,0,6,0,0.2,248,155.9,0,0
2018,1,2,2,30,0,0,-20.9,0.68,2.7,92.95,-20.1,977,0,0,0,0,6,0,0.2,249,150.84,0,0
2018,1,2,3,30,0,0,-21,0.68,2.6,93.89,-20.3,977,0,0,0,0,6,0,0.2,250,142.51,0,0
2018,1,2,4,30,0,0,-21.2,0.68,2.6,94.78,-20.6,976,0,0,0,0,6,0,0.2,250,132.74,0,0
2018,1,2,5,30,0,0,-21.4,0.68,2.6,94.72,-20.8,975,0,0,0,0,6,0,0.2,249,122.48,0,0
2018,1,2,6,30,0,0,-21.5,0.68,2.6,95.37,-21,974,0,0,0,0,7,0,0.1,247,112.21,0,0
2018,1,2,7,30,0,0,-21.9,0.68,2.6,96.01,-21.4,973,0,0,0,0,7,0,0.1,242,102.26,0,0
2018,1,2,8,30,0,0,-22.4,0.68,2.6,94.41,-21.7,972,0,0,0,0,8,0,0.1,237,92.95,0,0
2018,1,2,9,30,34,210,-22.6,0.68,2.8,90.89,-21.5,971,54,28,587,85,8,100,0.1,230,84.46,0,0
2018,1,2,10,30,62,422,-22.2,0.68,3,87.3,-20.6,969,153,44,810,218,7,100,0.1,223,77.6,5.6119,7.3374
2018,1,2,11,30,100,301,-21,0.68,3.1,84.61,-19.1,967,190,54,877,317,6,0,0.2,220,72.53,7.3334,9.5033
2018,1,2,12,30,130,172,-19.7,0.68,3.1,84.43,-17.7,965,190,61,906,375,6,0,0.2,222,69.73,7.5531,9.7503
2018,1,2,13,30,131,163,-18.4,0.68,3.1,85.95,-16.6,964,188,64,883,373,6,0,0.3,225,69.51,7.4901,9.6665
2018,1,2,14,30,103,3,-17.3,0.68,3.1,87.27,-15.7,963,104,62,831,320,6,0,0.4,229,71.9,4.0415,5.2324
2018,1,2,15,30,64,0,-16.5,0.68,3,88.01,-15,962,64,53,725,221,6,100,0.5,231,76.62,2.3667,3.0889
2018,1,2,16,30,30,0,-16,0.68,2.9,89.33,-14.6,961,30,35,514,96,6,100,0.6,233,83.22,0,0
2018,1,2,17,30,3,25,-15.6,0.68,2.8,89.23,-14.2,960,2,3,25,2,7,14,0.6,236,91.48,0,0
2018,1,2,18,30,0,0,-15.3,0.68,2.7,90.92,-14.1,960,0,0,0,0,7,0,0.6,239,100.65,0,0
2018,1,2,19,30,0,0,-14.9,0.68,2.3,90.64,-13.7,960,0,0,0,0,4,0,0.5,253,110.52,0,0
2018,1,2,20,30,0,0,-14.8,0.68,2,91.28,-13.7,959,0,0,0,0,7,0,0.5,267,120.75,0,0
2018,1,2,21,30,0,0,-15.1,0.68,1.8,90.98,-13.9,959,0,0,0,0,4,0,0.5,284,131.04,0,0
2018,1,2,22,30,0,0,-15.3,0.68,1.7,89.92,-14,960,0,0,0,0,4,0,0.5,301,140.92,0,0
2018,1,2,23,30,0,0,-15.3,0.68,1.8,89.54,-14,960,0,0,0,0,4,0,0.4,313,149.57,0,0
2018,1,3,0,30,0,0,-15.2,0.68,2,89.14,-13.8,960,0,0,0,0,4,0,0.4,320,155.32,0,0
2018,1,3,1,30,0,0,-14.8,0.68,2.3,89.6,-13.5,961,0,0,0,0,4,0,0.4,325,155.83,0,0
2018,1,3,2,30,0,0,-14.6,0.68,2.6,90.26,-13.3,962,0,0,0,0,4,0,0.4,330,150.81,0,0
2018,1,3,3,30,0,0,-14.4,0.68,2.8,90.32,-13.2,963,0,0,0,0,4,0,0.4,333,142.51,0,0
2018,1,3,4,30,0,0,-14.5,0.68,2.8,90.61,-13.3,963,0,0,0,0,4,0,0.3,337,132.76,0,0
2018,1,3,5,30,0,0,-14.7,0.68,2.8,91.48,-13.6,964,0,0,0,0,4,0,0.3,339,122.5,0,0
2018,1,3,6,30,0,0,-15,0.68,2.8,92,-14,965,0,0,0,0,4,0,0.3,341,112.22,0,0
2018,1,3,7,30,0,0,-15.5,0.68,2.8,90.95,-14.3,965,0,0,0,0,4,0,0.2,343,102.27,0,0
2018,1,3,8,30,0,0,-15.7,0.68,2.7,90.34,-14.5,966,0,0,0,0,4,0,0.2,345,92.94,0,0
2018,1,3,9,30,35,32,-15.8,0.68,2.8,89.22,-14.4,967,38,31,534,83,4,100,0.2,346,84.44,0,0
2018,1,3,10,30,83,135,-15.8,0.68,2.8,88.6,-14.3,967,112,49,765,214,4,100,0.2,345,77.56,4.1093,5.3724
2018,1,3,11,30,118,208,-15.8,0.68,2.8,88.66,-14.3,968,181,59,861,318,4,0,0.2,343,72.47,6.9906,9.0582
2018,1,3,12,30,129,327,-15.9,0.68,2.7,89.34,-14.5,968,243,63,901,376,4,0,0.2,339,69.65,9.6678,12.4789
2018,1,3,13,30,137,282,-16.1,0.68,2.6,89.25,-14.7,968,236,63,904,381,4,0,0.2,335,69.41,9.4119,12.1452
2018,1,3,14,30,125,184,-16.4,0.68,2.5,89.23,-15,969,183,59,873,332,4,0,0.2,331,71.77,7.1215,9.2182
2018,1,3,15,30,91,115,-16.7,0.68,2.4,88.95,-15.3,969,118,50,790,235,4,100,0.2,328,76.48,4.3693,5.7009
2018,1,3,16,30,43,33,-16.9,0.68,2.3,89.14,-15.5,970,47,34,596,106,4,100,0.2,328,83.08,0,0
2018,1,3,17,30,3,34,-17,0.68,2.3,89,-15.6,970,2,4,35,3,4,14,0.2,329,91.34,0,0
2018,1,3,18,30,0,0,-17,0.68,2.2,89.34,-15.6,971,0,0,0,0,4,0,0.2,331,100.51,0,0
2018,1,3,19,30,0,0,-16.9,0.68,2.3,89.24,-15.5,971,0,0,0,0,4,0,0.2,339,110.37,0,0
2018,1,3,20,30,0,0,-16.8,0.68,2.2,89.48,-15.5,972,0,0,0,0,4,0,0.2,344,120.61,0,0
2018,1,3,21,30,0,0,-16.8,0.68,2.2,89.19,-15.4,972,0,0,0,0,4,0,0.2,348,130.89,0,0
2018,1,3,22,30,0,0,-16.7,0.68,2.3,89.47,-15.4,972,0,0,0,0,4,0,0.2,352,140.77,0,0
2018,1,3,23,30,0,0,-16.8,0.68,2.2,89.97,-15.5,973,0,0,0,0,4,0,0.2,355,149.43,0,0
2018,1,4,0,30,0,0,-16.8,0.68,2.2,90.34,-15.6,973,0,0,0,0,4,0,0.2,356,155.2,0,0
2018,1,4,1,30,0,0,-16.9,0.68,2.2,90.37,-15.7,973,0,0,0,0,4,0,0.2,356,155.75,0,0
2018,1,4,2,30,0,0,-17,0.68,2.1,90.62,-15.8,974,0,0,0,0,4,0,0.2,357,150.78,0,0
2018,1,4,3,30,0,0,-17.2,0.68,2,90.7,-16,974,0,0,0,0,4,0,0.2,356,142.5,0,0
2018,1,4,4,30,0,0,-17.4,0.68,2,90.16,-16.2,974,0,0,0,0,4,0,0.2,356,132.76,0,0
2018,1,4,5,30,0,0,-17.5,0.68,1.9,90.3,-16.3,974,0,0,0,0,4,0,0.2,355,122.51,0,0
2018,1,4,6,30,0,0,-17.5,0.68,1.9,89.48,-16.2,974,0,0,0,0,4,0,0.1,355,112.23,0,0
2018,1,4,7,30,0,0,-17.4,0.68,1.9,89.63,-16.1,975,0,0,0,0,4,0,0.1,355,102.27,0,0
2018,1,4,8,30,0,0,-17.3,0.68,1.9,89.43,-16,975,0,0,0,0,4,0,0.1,356,92.93,0,0
2018,1,4,9,30,31,2,-17.2,0.68,2,88.38,-15.7,975,31,31,558,85,4,100,0.1,358,84.41,0,0
2018,1,4,10,30,81,45,-16.9,0.68,2,87.23,-15.3,975,91,49,787,219,4,100,0.1,358,77.51,3.3401,4.3663
2018,1,4,11,30,123,107,-16.8,0.68,2,86.98,-15.1,975,155,60,870,323,4,0,0.2,355,72.4,5.991,7.7621
2018,1,4,12,30,126,347,-16.5,0.68,2,86.52,-14.8,975,247,65,894,377,4,0,0.2,351,69.56,9.8358,12.6945
2018,1,4,13,30,141,241,-16.4,0.68,2.1,86.82,-14.7,974,226,66,894,382,4,0,0.2,348,69.29,9.0239,11.6428
2018,1,4,14,30,124,213,-16.4,0.68,2,87.17,-14.7,974,191,62,862,334,4,0,0.2,347,71.64,7.4431,9.6327
2018,1,4,15,30,88,153,-16.4,0.68,2,87.33,-14.8,974,124,53,778,237,4,100,0.2,347,76.35,4.5971,5.9967
2018,1,4,16,30,42,62,-16.6,0.68,1.9,88.47,-15.1,974,50,36,583,108,4,100,0.2,346,82.94,0,0
2018,1,4,17,30,1,23,-16.8,0.68,1.8,88.04,-15.3,974,1,4,34,3,4,14,0.2,345,91.19,0,0
2018,1,4,18,30,0,0,-17,0.68,1.8,87.43,-15.4,974,0,0,0,0,4,0,0.2,344,100.36,0,0
2018,1,4,19,30,0,0,-17.2,0.68,1.7,89.64,-15.9,974,0,0,0,0,4,0,0.2,344,110.22,0,0
2018,1,4,20,30,0,0,-17.5,0.68,1.8,88.21,-16,975,0,0,0,0,4,0,0.2,344,120.46,0,0
