Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,946727,-,-,-,44.69,-85.5,-5,285,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2019,1,1,0,30,0,0,0,0,0,0,4,-2,158.12,0,0.87,6.9,1.1,348,95.5,-1.4000000000000001,978,0.0000,0.0000
2019,1,1,1,30,0,0,0,0,0,0,8,-3.1,156.49,0,0.87,7.2,1,350,94.72,-2.4000000000000004,981,0.0000,0.0000
2019,1,1,2,30,0,0,0,0,0,0,4,-4.7,149.57,0,0.87,6.9,0.9,351,92.22,-3.6,983,0.0000,0.0000
2019,1,1,3,30,0,0,0,0,0,0,4,-5.9,140.13,0,0.87,6.6000000000000005,0.9,353,89.7,-4.5,985,0.0000,0.0000
2019,1,1,4,30,0,0,0,0,0,0,4,-7,129.74,0,0.87,6.5,0.9,356,88.14,-5.300000000000001,987,0.0000,0.0000
2019,1,1,5,30,0,0,0,0,0,0,4,-7.9,119.09,0,0.87,6.2,0.8,180,87.57000000000001,-6.2,989,0.0000,0.0000
2019,1,1,6,30,0,0,0,0,0,0,4,-8.9,108.58,0,0.87,5.5,0.6000000000000001,3,86.01,-7,990,0.0000,0.0000
2019,1,1,7,30,0,0,0,0,0,0,4,-10.100000000000001,98.52,0,0.87,4.6000000000000005,0.5,8,87.16,-8.3,991,0.0000,0.0000
2019,1,1,8,30,7,35,8,13,185,17,4,-11.4,88.81,57,0.87,3.8000000000000003,0.4,11,82.96000000000001,-9,992,0.0000,0.0000
2019,1,1,9,30,54,23,58,40,654,143,4,-11.5,80.92,100,0.87,3.8000000000000003,0.4,13,77.75,-8.3,993,0.0000,0.0000
