Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,966602,-,-,-,42.73,-84.54,-5,262,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2017,1,1,0,30,0,0,0,0,0,0,4,-5,160.1,0,0.126,2.4000000000000004,0.515,266.8,86.68,-4,980,0.0000,0.0000
2017,1,1,1,30,0,0,0,0,0,0,4,-5,157.85,0,0.126,2,0.527,264.8,86.09,-4,980,0.0000,0.0000
2017,1,1,2,30,0,0,0,0,0,0,1,-6,150.12,0,0.126,1.7000000000000002,0.518,261.5,90.9,-5,980,0.0000,0.0000
2017,1,1,3,30,0,0,0,0,0,0,1,-6,140.08,0,0.126,1.6,0.508,255.8,89.71000000000001,-5,980,0.0000,0.0000
2017,1,1,4,30,0,0,0,0,0,0,1,-6,129.24,0,0.126,1.6,0.499,252.4,95.87,-6,980,0.0000,0.0000
2017,1,1,5,30,0,0,0,0,0,0,1,-6,118.24000000000001,0,0.126,1.6,0.488,247.9,94.86,-6,980,0.0000,0.0000
2017,1,1,6,30,0,0,0,0,0,0,1,-6,107.43,0,0.126,1.9000000000000001,0.486,239.60000000000002,94.05,-6,980,0.0000,0.0000
2017,1,1,7,30,0,0,0,0,0,0,1,-6,97.09,0,0.126,2.5,0.489,229.8,93.9,-6,980,0.0000,0.0000
2017,1,1,8,30,16,297,29,16,297,29,1,-6,87.54,0,0.126,3.5,0.489,224.10000000000002,88.10000000000001,-5,980,0.0000,0.0000
2017,1,1,9,30,43,659,167,43,659,167,1,-5,79.14,0,0.126,4.1000000000000005,0.487,223.3,74.64,-2,980,7.9623,6.0742
