Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2018,1,1,0,30,0,0,0,0,0,0,4,-15.9,160.13,0,0.68,2.5,0.2,280,83.45,-13.7,1000,0,0
2018,1,1,1,30,0,0,0,0,0,0,4,-16,157.87,0,0.68,2.7,0.2,289,83.16,-13.8,1000,0,0
2018,1,1,2,30,0,0,0,0,0,0,4,-16.2,150.13,0,0.68,3.1,0.2,296,83.18,-14,1000,0,0
2018,1,1,3,30,0,0,0,0,0,0,4,-16.5,140.08,0,0.68,3.6,0.2,298,81.87,-14.1,1000,0,0
2018,1,1,4,30,0,0,0,0,0,0,8,-16.8,129.24,0,0.68,3.9,0.2,299,79.59,-14,1000,0,0
2018,1,1,5,30,0,0,0,0,0,0,8,-17,118.24,0,0.68,4.1,0.2,300,78.79,-14.1,1000,0,0
2018,1,1,6,30,0,0,0,0,0,0,4,-17.5,107.43,0,0.68,4,0.2,302,77.49,-14.4,1001,0,0
2018,1,1,7,30,0,0,0,0,0,0,4,-18,97.1,0,0.68,4,0.2,302,76.65,-14.8,1001,0,0
2018,1,1,8,30,12,31,13,21,314,36,4,-18.3,87.27,86,0.68,4.4,0.2,301,72.92,-14.5,1001,0,0
2018,1,1,9,30,67,15,70,48,706,182,4,-17.7,79.06,100,0.68,5.3,0.2,302,70.03,-13.4,1002,3.3379,2.5467
2018,1,1,10,30,118,58,136,64,840,319,4,-17.3,72.32,0,0.68,5.8,0.2,304,67.12,-12.5,1002,6.8157,5.2612
2018,1,1,11,30,155,211,235,74,899,415,4,-17.3,67.7,0,0.68,5.8,0.2,306,65.07,-12.1,1002,12.2718,9.5282
2018,1,1,12,30,167,64,193,78,919,456,4,-17.1,65.7,0,0.68,5.6,0.2,306,64.57,-11.8,1002,10.2403,7.966
2018,1,1,13,30,168,168,235,76,910,438,4,-16.9,66.57,0,0.68,5.4,0.2,308,64.38,-11.5,1002,12.3847,9.6266
2018,1,1,14,30,130,225,206,68,852,357,4,-16.6,70.19,0,0.68,5,0.3,308,66.01,-11.5,1002,10.5279,8.1508
2018,1,1,15,30,89,225,143,56,751,236,4,-16.4,76.16,86,0.68,4.5,0.3,308,67.82,-11.6,1002,6.9256,5.3111
2018,1,1,16,30,38,73,46,35,512,89,4,-16.2,83.89,100,0.68,3.7,0.3,304,72.11,-12.2,1003,0,0
2018,1,1,17,30,0,0,0,0,0,0,4,-16.2,93.18,0,0.68,3.1,0.3,297,76.69,-13,1003,0,0
2018,1,1,18,30,0,0,0,0,0,0,4,-16.4,103.24,0,0.68,3,0.3,293,77.54,-13.3,1003,0,0
2018,1,1,19,30,0,0,0,0,0,0,4,-16.2,113.89,0,0.68,3.2,0.3,286,80.94,-13.6,1003,0,0
2018,1,1,20,30,0,0,0,0,0,0,4,-15.9,124.85,0,0.68,3.2,0.3,284,83.72,-13.7,1003,0,0
2018,1,1,21,30,0,0,0,0,0,0,4,-15.6,135.8,0,0.68,3.1,0.3,281,84.88,-13.6,1003,0,0
2018,1,1,22,30,0,0,0,0,0,0,4,-15.4,146.27,0,0.68,3.1,0.3,276,85.54,-13.5,1002,0,0
2018,1,1,23,30,0,0,0,0,0,0,4,-15.2,155.19,0,0.68,3.2,0.3,270,85.91,-13.3,1002,0,0
2018,1,2,0,30,0,0,0,0,0,0,4,-14.8,160.04,0,0.68,3.4,0.3,263,86.11,-13,1002,0,0
2018,1,2,1,30,0,0,0,0,0,0,4,-14.6,157.84,0,0.68,3.5,0.3,256,88.95,-13.2,1001,0,0
2018,1,2,2,30,0,0,0,0,0,0,4,-14.8,150.14,0,0.68,3.9,0.3,252,87.61,-13.2,1001,0,0
2018,1,2,3,30,0,0,0,0,0,0,4,-14.7,140.11,0,0.68,4.5,0.3,252,87.03,-13,1000,0,0
2018,1,2,4,30,0,0,0,0,0,0,4,-14.5,129.28,0,0.68,4.7,0.3,249,87.37,-12.8,1000,0,0
2018,1,2,5,30,0,0,0,0,0,0,7,-14.4,118.27,0,0.68,5.1,0.3,245,86.87,-12.7,1000,0,0
2018,1,2,6,30,0,0,0,0,0,0,7,-14.2,107.46,0,0.68,5.5,0.3,247,85.55,-12.3,1000,0,0
2018,1,2,7,30,0,0,0,0,0,0,6,-13.9,97.12,0,0.68,5.5,0.3,246,85.42,-12,999,0,0
2018,1,2,8,30,16,40,18,21,308,36,6,-13.8,87.28,86,0.68,5.9,0.3,245,83.03,-11.5,999,0,0
2018,1,2,9,30,70,34,76,48,692,179,6,-13.4,79.05,100,0.68,6.3,0.3,246,80.1,-10.6,999,3.6241,2.7651
2018,1,2,10,30,107,277,191,64,827,316,6,-12.9,72.28,0,0.68,6.8,0.3,248,76.92,-9.6,999,9.5756,7.392
2018,1,2,11,30,120,459,295,72,890,411,7,-12.7,67.64,0,0.68,7.4,0.3,252,72.86,-8.7,998,15.4127,11.9676
2018,1,2,12,30,64,800,394,75,915,453,7,-12.5,65.61,0,0.68,7.6,0.3,254,70.61,-8.1,996,20.9194,16.2747
2018,1,2,13,30,59,831,391,73,918,440,7,-12.5,66.46,0,0.68,7.6,0.2,253,70.09,-8,996,20.624,16.0325
2018,1,2,14,30,61,817,339,67,879,367,7,-12.7,70.07,25,0.68,7.5,0.2,250,70.92,-8.4,995,17.3438,13.4297
2018,1,2,15,30,64,498,184,55,778,243,6,-13.2,76.02,86,0.68,6.9,0.2,244,74.17,-9.5,994,8.9211,6.8432
2018,1,2,16,30,36,280,66,34,539,93,6,-14,83.76,100,0.68,6.4,0.2,234,79.69,-11.2,993,0,0
2018,1,2,17,30,0,0,0,0,0,0,7,-15.2,93.04,0,0.68,6.4,0.2,226,83.16,-12.9,992,0,0
2018,1,2,18,30,0,0,0,0,0,0,6,-16.3,103.1,0,0.68,6.5,0.2,223,80.91,-13.7,992,0,0
2018,1,2,19,30,0,0,0,0,0,0,6,-17.2,113.75,0,0.68,6.6,0.2,225,82.64,-14.9,991,0,0
2018,1,2,20,30,0,0,0,0,0,0,7,-17.7,124.71,0,0.68,6.6,0.3,230,81.84,-15.3,991,0,0
2018,1,2,21,30,0,0,0,0,0,0,7,-17.9,135.66,0,0.68,6.7,0.3,232,81.81,-15.5,990,0,0
2018,1,2,22,30,0,0,0,0,0,0,7,-18,146.13,0,0.68,6.8,0.3,230,80.97,-15.5,990,0,0
2018,1,2,23,30,0,0,0,0,0,0,7,-18.1,155.05,0,0.68,6.8,0.3,228,80.4,-15.5,989,0,0
2018,1,3,0,30,0,0,0,0,0,0,7,-18.1,159.93,0,0.68,6.7,0.3,227,79.92,-15.4,988,0,0
2018,1,3,1,30,0,0,0,0,0,0,7,-18,157.79,0,0.68,6.5,0.3,225,80.21,-15.4,988,0,0
2018,1,3,2,30,0,0,0,0,0,0,7,-18.1,150.14,0,0.68,6.2,0.3,223,80.89,-15.6,987,0,0
2018,1,3,3,30,0,0,0,0,0,0,7,-18.5,140.13,0,0.68,5.9,0.4,219,80.62,-15.9,986,0,0
2018,1,3,4,30,0,0,0,0,0,0,7,-18.8,129.3,0,0.68,5.6,0.5,214,78.5,-15.9,986,0,0
2018,1,3,5,30,0,0,0,0,0,0,7,-18.7,118.3,0,0.68,5.5,0.5,210,76.78,-15.6,985,0,0
2018,1,3,6,30,0,0,0,0,0,0,7,-18.2,107.48,0,0.68,5.4,0.6,208,76.22,-15,985,0,0
2018,1,3,7,30,0,0,0,0,0,0,7,-17.6,97.13,0,0.68,5.2,0.5,208,76.53,-14.4,984,0,0
2018,1,3,8,30,18,90,22,23,198,32,4,-16.9,87.28,86,0.68,5.2,0.5,209,75.98,-13.6,984,0,0
2018,1,3,9,30,70,132,95,60,568,168,4,-16,79.03,100,0.68,5.4,0.5,213,74.74,-12.4,984,4.5303,3.4566
2018,1,3,10,30,123,137,165,85,709,301,4,-14.6,72.24,0,0.68,5.5,0.5,221,75.1,-11.1,984,8.2752,6.3886
2018,1,3,11,30,158,184,228,100,772,395,4,-13.3,67.57,0,0.68,5.3,0.5,230,76.37,-9.9,983,11.9191,9.2555
2018,1,3,12,30,166,282,283,107,795,436,4,-12.2,65.52,0,0.68,5.1,0.5,238,78.43,-9.1,983,15.0362,11.6986
2018,1,3,13,30,170,130,222,104,785,419,4,-11.6,66.35,0,0.68,4.7,0.5,245,79.18,-8.6,983,11.7199,9.1117
2018,1,3,14,30,134,51,151,91,745,347,4,-11.3,69.94,0,0.68,4.2,0.5,251,79.03,-8.3,983,7.7344,5.9899
2018,1,3,15,30,95,74,113,72,644,229,4,-11.1,75.89,86,0.68,3.4,0.5,255,81.31,-8.5,983,5.4844,4.208
2018,1,3,16,30,38,10,39,43,396,87,4,-11.1,83.62,100,0.68,2.8,0.4,259,85.91,-9.2,984,0,0
2018,1,3,17,30,0,0,0,0,0,0,4,-11.8,92.9,0,0.68,2.9,0.4,267,85.61,-9.8,984,0,0
2018,1,3,18,30,0,0,0,0,0,0,4,-11.8,102.96,0,0.68,3,0.4,273,86.31,-9.9,985,0,0
