Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,943087,-,-,-,42.97,-85.66,-5,202,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2015,1,1,0,30,0,0,0,0,0,0,4,-11,159.78,0,0.866,7.5,0.401,261.2,67.48,-6,990,0.0000,0.0000
2015,1,1,1,30,0,0,0,0,0,0,4,-10,158.06,0,0.866,7.300000000000001,0.387,261.2,69.10000000000001,-5,990,0.0000,0.0000
2015,1,1,2,30,0,0,0,0,0,0,4,-10,150.66,0,0.866,7.2,0.381,259.7,65.18,-5,990,0.0000,0.0000
2015,1,1,3,30,0,0,0,0,0,0,7,-10,140.78,0,0.866,7.2,0.383,255.3,66.43,-5,990,0.0000,0.0000
2015,1,1,4,30,0,0,0,0,0,0,7,-10,130.02,0,0.866,7.2,0.383,250.20000000000002,67.88,-5,980,0.0000,0.0000
2015,1,1,5,30,0,0,0,0,0,0,7,-9,119.06,0,0.866,7.300000000000001,0.392,247.5,68.58,-5,980,0.0000,0.0000
2015,1,1,6,30,0,0,0,0,0,0,7,-9,108.27,0,0.866,7.5,0.453,247.10000000000002,69.76,-5,980,0.0000,0.0000
2015,1,1,7,30,0,0,0,0,0,0,8,-9,97.93,0,0.866,7.7,0.5670000000000001,248.60000000000002,71.49,-5,980,0.0000,0.0000
2015,1,1,8,30,2,0,2,16,112,19,8,-9,88.35000000000001,4,0.866,8,0.639,250.4,73.35000000000001,-5,980,0.0000,0.0000
2015,1,1,9,30,21,0,21,56,542,151,4,-8,79.9,4,0.866,8.3,0.675,252.60000000000002,73.97,-4,980,1.0012,0.7630
2015,1,1,10,30,47,0,47,79,706,285,4,-8,73.02,0,0.866,8.4,0.748,253.9,68.51,-4,980,2.3401,1.8044
2015,1,1,11,30,53,0,53,89,786,380,4,-8,68.24,0,0.866,8.5,0.844,254.60000000000002,64.34,-3,980,2.7552,2.1380
2015,1,1,12,30,171,69,199,95,806,423,4,-8,66.05,0,0.866,8.4,0.923,255.5,62.25,-2,980,10.5303,8.1891
2015,1,1,13,30,159,288,273,96,790,408,4,-7,66.71000000000001,0,0.866,8,0.97,256.40000000000003,65.56,-2,980,14.3714,11.1693
2015,1,1,14,30,131,28,141,96,706,336,4,-6,70.14,0,0.866,7.5,0.996,256.5,69.13,-2,980,7.2093,5.5818
2015,1,1,15,30,80,573,219,80,573,219,1,-6,75.94,0,0.866,6.9,1.004,255.60000000000002,72.94,-2,980,10.6248,8.1512
2015,1,1,16,30,23,0,23,47,287,79,4,-5,83.60000000000001,4,0.866,6.300000000000001,0.967,252.60000000000002,77.17,-2,980,0.0000,0.0000
2015,1,1,17,30,0,0,0,0,0,0,4,-4,92.62,0,0.866,5.9,0.899,251.10000000000002,75.72,-1,980,0.0000,0.0000
2015,1,1,18,30,0,0,0,0,0,0,4,-4,102.59,0,0.866,5.6000000000000005,0.84,254.60000000000002,78.64,-1,990,0.0000,0.0000
2015,1,1,19,30,0,0,0,0,0,0,4,-3,113.17,0,0.866,5.4,0.796,259.7,80.14,-1,990,0.0000,0.0000
2015,1,1,20,30,0,0,0,0,0,0,4,-3,124.07000000000001,0,0.866,4.9,0.765,267.1,80.3,-1,990,0.0000,0.0000
2015,1,1,21,30,0,0,0,0,0,0,4,-4,134.99,0,0.866,4.4,0.742,274.5,85.07000000000001,-1,990,0.0000,0.0000
2015,1,1,22,30,0,0,0,0,0,0,4,-4,145.46,0,0.866,4,0.724,282.2,83.7,-2,990,0.0000,0.0000
2015,1,1,23,30,0,0,0,0,0,0,4,-4,154.48,0,0.866,3.3000000000000003,0.706,293.1,81.22,-2,990,0.0000,0.0000
2015,1,2,0,30,0,0,0,0,0,0,7,-5,159.68,0,0.866,2.7,0.6890000000000001,300.3,82.89,-2,990,0.0000,0.0000
2015,1,2,1,30,0,0,0,0,0,0,7,-6,158.02,0,0.866,2.3000000000000003,0.669,303.1,77.85000000000001,-3,990,0.0000,0.0000
2015,1,2,2,30,0,0,0,0,0,0,8,-7,150.67000000000002,0,0.866,2.1,0.632,305.6,78.85000000000001,-4,990,0.0000,0.0000
2015,1,2,3,30,0,0,0,0,0,0,4,-7,140.81,0,0.866,2,0.585,308.3,79.72,-5,990,0.0000,0.0000
2015,1,2,4,30,0,0,0,0,0,0,4,-8,130.05,0,0.866,1.9000000000000001,0.546,310.1,75.14,-5,990,0.0000,0.0000
2015,1,2,5,30,0,0,0,0,0,0,4,-9,119.09,0,0.866,1.7000000000000002,0.519,312.90000000000003,77.14,-6,990,0.0000,0.0000
2015,1,2,6,30,0,0,0,0,0,0,4,-9,108.3,0,0.866,1.5,0.499,314.3,79.29,-6,990,0.0000,0.0000
