Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2018,1,1,0,30,0,0,0,0,0,0,4,-15.9,159.77,0,0.87,3.3,0.2,305,83.7,-13.7,1005,0,0
2018,1,1,1,30,0,0,0,0,0,0,4,-16.1,158.06,0,0.87,3.6,0.2,304,82.09,-13.7,1005,0,0
2018,1,1,2,30,0,0,0,0,0,0,4,-16,150.67,0,0.87,4,0.2,304,81.34,-13.5,1006,0,0
2018,1,1,3,30,0,0,0,0,0,0,4,-15.9,140.79,0,0.87,4.4,0.2,305,81.15,-13.4,1006,0,0
2018,1,1,4,30,0,0,0,0,0,0,4,-16.2,130.03,0,0.87,4.5,0.2,305,79.19,-13.4,1006,0,0
2018,1,1,5,30,0,0,0,0,0,0,4,-16.4,119.07,0,0.87,4.3,0.2,305,80.02,-13.7,1006,0,0
2018,1,1,6,30,0,0,0,0,0,0,4,-16.4,108.27,0,0.87,3.9,0.2,305,81.82,-14,1006,0,0
2018,1,1,7,30,0,0,0,0,0,0,4,-16.6,97.93,0,0.87,3.6,0.2,304,82.58,-14.3,1006,0,0
2018,1,1,8,30,10,27,11,18,214,25,4,-16.6,88.01,71,0.87,4,0.2,305,78.46,-13.7,1007,0,0
2018,1,1,9,30,65,30,70,49,655,165,4,-15.7,79.79,100,0.87,4.8,0.2,308,77.49,-12.6,1007,3.3368,2.5434
2018,1,1,10,30,113,100,142,67,806,303,4,-15.5,72.95,0,0.87,5.2,0.2,311,74.6,-11.9,1007,7.0747,5.4558
2018,1,1,11,30,137,284,243,76,876,402,4,-15.3,68.18,0,0.87,5.2,0.2,313,73.28,-11.5,1007,12.6388,9.8081
2018,1,1,12,30,168,92,205,79,890,441,4,-15.1,65.99,0,0.87,5.1,0.3,313,73.19,-11.2,1007,10.8528,8.4403
2018,1,1,13,30,155,279,266,78,883,428,4,-14.7,66.64,0,0.87,5,0.3,312,73.87,-11,1007,14.0107,10.8897
2018,1,1,14,30,140,129,184,70,843,358,4,-14.5,70.05,0,0.87,4.7,0.3,310,74.73,-10.9,1007,9.4154,7.2908
2018,1,1,15,30,95,81,115,58,745,240,4,-14.3,75.84,86,0.87,4.3,0.3,308,77.07,-11.1,1007,5.5838,4.2846
2018,1,1,16,30,39,13,40,37,513,96,4,-14.1,83.43,100,0.87,3.6,0.3,304,80.72,-11.5,1008,0,0
2018,1,1,17,30,0,0,0,0,0,0,4,-14.2,92.59,0,0.87,3,0.3,299,84.8,-12.2,1008,0,0
2018,1,1,18,30,0,0,0,0,0,0,4,-14.5,102.56,0,0.87,2.8,0.3,297,84.96,-12.5,1008,0,0
2018,1,1,19,30,0,0,0,0,0,0,4,-14.5,113.14,0,0.87,2.8,0.3,294,85.46,-12.6,1008,0,0
