Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,966602,-,-,-,42.73,-84.54,-5,262,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.0
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2020,1,1,0,30,0,0,0,0,0,0,4,-6.2,160.18,0,0.87,3.8000000000000003,0.4,254,91.7,-5.1000000000000005,975,0.0000,0.0000
2020,1,1,1,30,0,0,0,0,0,0,4,-7.2,157.89000000000001,0,0.87,3.5,0.4,255,91.79,-6.1000000000000005,976,0.0000,0.0000
2020,1,1,2,30,0,0,0,0,0,0,4,-8,150.13,0,0.87,3.3000000000000003,0.30000000000000004,253,90.62,-6.7,976,0.0000,0.0000
2020,1,1,3,30,0,0,0,0,0,0,4,-8.4,140.07,0,0.87,3.3000000000000003,0.30000000000000004,250,90.25,-7.1000000000000005,976,0.0000,0.0000
2020,1,1,4,30,0,0,0,0,0,0,4,-8.6,129.22,0,0.87,3.4000000000000004,0.30000000000000004,248,90.24,-7.300000000000001,976,0.0000,0.0000
2020,1,1,5,30,0,0,0,0,0,0,4,-8.700000000000001,118.22,0,0.87,3.4000000000000004,0.30000000000000004,247,90.63,-7.4,976,0.0000,0.0000
2020,1,1,6,30,0,0,0,0,0,0,0,-8.6,107.42,0,0.87,3.3000000000000003,0.4,246,90.83,-7.4,976,0.0000,0.0000
2020,1,1,7,30,0,0,0,0,0,0,4,-8.5,97.09,0,0.87,3.4000000000000004,0.4,243,89.76,-7.1000000000000005,977,0.0000,0.0000
2020,1,1,8,30,17,42,19,19,329,35,4,-8.1,87.28,100,0.87,3.7,0.5,240,82.7,-5.6000000000000005,977,0.0000,0.0000
2020,1,1,9,30,43,700,176,43,700,176,0,-6.5,79.07000000000001,0,0.87,4.4,0.5,241,76.03,-2.9000000000000004,978,8.3924,6.4030
