Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,965369,-,-,-,45.85,-84.62,-5,200,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,Cloud Type,Fill Flag,Precipitable Water,Global Horizontal UV Irradiance (295-385nm),Wind Direction,Global Horizontal UV Irradiance (280-400nm),Solar Zenith Angle,Clearsky GHI,GHI,Clearsky DNI,Clearsky DHI
2016,1,1,0,30,0,0,-6,0.866,5.800000000000001,84.28,-4,990,4,0,0.536,0.0000,263.8,0.0000,157.07,0,0,0,0
2016,1,1,1,30,0,0,-6,0.866,5.6000000000000005,82.13,-4,980,4,0,0.522,0.0000,263.90000000000003,0.0000,155.17000000000002,0,0,0,0
2016,1,1,2,30,0,0,-6,0.866,5.4,80.67,-4,980,4,0,0.528,0.0000,264.5,0.0000,148.38,0,0,0,0
2016,1,1,3,30,0,0,-6,0.866,5.2,80.65,-4,980,4,0,0.552,0.0000,265,0.0000,139.16,0,0,0,0
2016,1,1,4,30,0,0,-6,0.866,5.2,82.16,-4,980,4,0,0.5740000000000001,0.0000,264.8,0.0000,128.99,0,0,0,0
2016,1,1,5,30,0,0,-6,0.866,5.300000000000001,84.02,-4,980,4,0,0.5700000000000001,0.0000,265.40000000000003,0.0000,118.56,0,0,0,0
2016,1,1,6,30,0,0,-6,0.866,5.4,85.49,-4,980,4,0,0.541,0.0000,267.7,0.0000,108.27,0,0,0,0
2016,1,1,7,30,0,0,-5,0.866,5.4,86.2,-4,980,4,0,0.508,0.0000,269.7,0.0000,98.44,0,0,0,0
2016,1,1,8,30,0,0,-5,0.866,5.4,86.22,-4,980,8,0,0.487,0.0000,270.7,0.0000,89.37,0,0,0,0
2016,1,1,9,30,61,174,-5,0.866,5.5,87.51,-4,980,8,4,0.48,0.0000,269.90000000000003,0.0000,81.44,121,87,433,57
