Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,Cloud Type,Fill Flag,Precipitable Water,Global Horizontal UV Irradiance (295-385nm),Wind Direction,Global Horizontal UV Irradiance (280-400nm),Solar Zenith Angle,Clearsky GHI,GHI,Clearsky DNI,Clearsky DHI
2018,1,1,0,30,0,0,-13.1,0.45,5.4,89.57,-11.7,1007,7,0,0.3,0,271,0,157.03,0,0,0,0
2018,1,1,1,30,0,0,-12.6,0.45,5.4,89.85,-11.3,1006,7,0,0.3,0,275,0,155.17,0,0,0,0
2018,1,1,2,30,0,0,-12.3,0.45,5.3,89.95,-11,1006,7,0,0.2,0,281,0,148.39,0,0,0,0
2018,1,1,3,30,0,0,-12.1,0.45,5.3,89.21,-10.7,1006,7,0,0.2,0,290,0,139.19,0,0,0,0
2018,1,1,4,30,0,0,-12,0.45,5.4,88.43,-10.5,1006,4,0,0.2,0,302,0,129.02,0,0,0,0
2018,1,1,5,30,0,0,-12.2,0.45,5.6,87.81,-10.6,1006,4,0,0.2,0,313,0,118.59,0,0,0,0
2018,1,1,6,30,0,0,-12.6,0.45,5.6,87.32,-10.9,1007,4,0,0.2,0,322,0,108.29,0,0,0,0
2018,1,1,7,30,0,0,-12.8,0.45,5.5,87.94,-11.2,1008,4,0,0.2,0,331,0,98.45,0,0,0,0
2018,1,1,8,30,6,19,-13.1,0.45,5.3,89.59,-11.7,1008,4,57,0.2,0,340,0,88.94,15,6,120,13
2018,1,1,9,30,41,9,-13.3,0.45,4.9,89.14,-11.9,1009,4,100,0.2,0,344,0,81.32,133,42,558,49
2018,1,1,10,30,80,23,-13.4,0.45,4.4,87.57,-11.8,1009,4,43,0.3,3.2319,342,4.2054,75,253,86,705,71
2018,1,1,11,30,128,94,-13.3,0.45,4.1,84.98,-11.3,1009,4,4,0.3,6.2593,332,8.09,70.68,341,159,790,80
2018,1,1,12,30,141,165,-12.8,0.45,4.1,82.88,-10.5,1008,4,0,0.3,8.0638,318,10.3982,68.81,381,201,825,83
2018,1,1,13,30,140,116,-12.1,0.45,4.4,82.67,-9.7,1008,4,0,0.3,7.1649,306,9.2478,69.6,365,180,822,78
2018,1,1,14,30,110,204,-11.3,0.45,4.8,83.27,-9,1008,4,0,0.3,6.5309,299,8.4689,72.96,296,170,768,71
2018,1,1,15,30,61,310,-10.7,0.45,5.1,84.26,-8.5,1008,4,68,0.3,4.485,293,5.8735,78.53,184,123,644,56
2018,1,1,16,30,23,30,-10.3,0.45,5.3,85.34,-8.3,1008,4,100,0.3,0,289,0,85.77,56,25,342,31
2018,1,1,17,30,0,0,-10.1,0.45,5.3,85.18,-8.1,1008,4,0,0.4,0,286,0,94.63,0,0,0,0
2018,1,1,18,30,0,0,-10,0.45,5.3,86.14,-8.1,1008,4,0,0.4,0,285,0,104.19,0,0,0,0
2018,1,1,19,30,0,0,-9.8,0.45,5.4,85.04,-7.7,1008,7,0,0.4,0,279,0,114.34,0,0,0,0
