Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,965369,-,-,-,45.85,-84.62,-5,200,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,Cloud Type,Fill Flag,Precipitable Water,Global Horizontal UV Irradiance (295-385nm),Wind Direction,Global Horizontal UV Irradiance (280-400nm),Solar Zenith Angle,Clearsky GHI,GHI,Clearsky DNI,Clearsky DHI
2017,1,1,0,30,0,0,-5,0.866,4.2,83,-3,980,4,0,0.528,0.0000,269.3,0.0000,157,0,0,0,0
2017,1,1,1,30,0,0,-5,0.866,4.4,81.10000000000001,-3,980,8,0,0.509,0.0000,263,0.0000,155.14000000000001,0,0,0,0
2017,1,1,2,30,0,0,-5,0.866,4.3,79.9,-3,980,8,0,0.506,0.0000,256.5,0.0000,148.38,0,0,0,0
2017,1,1,3,30,0,0,-6,0.866,4.2,79.53,-3,980,4,0,0.534,0.0000,249.3,0.0000,139.18,0,0,0,0
2017,1,1,4,30,0,0,-6,0.866,4.3,78.66,-3,980,4,0,0.587,0.0000,239.4,0.0000,129.01,0,0,0,0
2017,1,1,5,30,0,0,-6,0.866,4.5,78.29,-3,980,4,0,0.622,0.0000,227.3,0.0000,118.58,0,0,0,0
2017,1,1,6,30,0,0,-6,0.866,4.9,79.64,-3,980,8,0,0.631,0.0000,218.10000000000002,0.0000,108.29,0,0,0,0
2017,1,1,7,30,0,0,-5,0.866,5.2,81.57000000000001,-3,980,4,0,0.649,0.0000,212.9,0.0000,98.45,0,0,0,0
2017,1,1,8,30,0,0,-5,0.866,5.5,77.72,-2,980,8,0,0.681,0.0000,212.70000000000002,0.0000,89.37,0,0,0,0
2017,1,1,9,30,47,0,-4,0.866,5.5,77.13,-1,980,4,4,0.7010000000000001,0.0000,220.4,0.0000,81.43,121,47,473,51
