Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,992533,-,-,-,45.61,-83.34,-5,176,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.0
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2020,1,1,0,30,0,0,0,0,0,0,7,-2.5,157.38,0,0.01,8.5,0.8,284,90.38,-1.1,980,0.0000,0.0000
2020,1,1,1,30,0,0,0,0,0,0,7,-2.9000000000000004,154.95000000000002,0,0.01,8.200000000000001,0.8,283,88.69,-1.3,980,0.0000,0.0000
2020,1,1,2,30,0,0,0,0,0,0,8,-3.2,147.8,0,0.01,8,0.7000000000000001,283,88.45,-1.5,980,0.0000,0.0000
2020,1,1,3,30,0,0,0,0,0,0,4,-3.3000000000000003,138.4,0,0.01,8,0.6000000000000001,282,89.06,-1.7000000000000002,981,0.0000,0.0000
2020,1,1,4,30,0,0,0,0,0,0,4,-3.4000000000000004,128.14000000000001,0,0.01,7.9,0.6000000000000001,283,88.85000000000001,-1.8,981,0.0000,0.0000
2020,1,1,5,30,0,0,0,0,0,0,4,-3.5,117.66,0,0.01,7.6000000000000005,0.5,284,89.22,-2,981,0.0000,0.0000
2020,1,1,6,30,0,0,0,0,0,0,4,-3.7,107.36,0,0.01,7.1000000000000005,0.5,283,89.15,-2.2,981,0.0000,0.0000
2020,1,1,7,30,0,0,0,0,0,0,4,-4,97.54,0,0.01,6.7,0.5,281,88.9,-2.4000000000000004,982,0.0000,0.0000
2020,1,1,8,30,5,0,5,16,200,22,4,-4.3,88.19,86,0.01,6.4,0.5,276,87.02,-2.4000000000000004,982,0.0000,0.0000
2020,1,1,9,30,25,0,25,40,623,142,4,-4.4,80.57000000000001,100,0.01,6.2,0.5,269,84.57000000000001,-2.2,983,0.0000,0.0000
2020,1,1,10,30,79,14,83,49,783,260,4,-4.5,74.37,14,0.01,6,0.5,260,82.86,-2,983,4.0815,3.1401
2020,1,1,11,30,135,177,195,55,850,342,4,-4.6000000000000005,70.24,7,0.01,6.1000000000000005,0.5,251,80.73,-1.7000000000000002,982,9.9613,7.7116
2020,1,1,12,30,140,260,235,56,871,374,7,-4.6000000000000005,68.60000000000001,0,0.01,6.2,0.5,246,79.11,-1.4000000000000001,982,12.1791,9.4470
2020,1,1,13,30,117,390,253,53,866,354,7,-4.5,69.63,0,0.01,6.1000000000000005,0.5,242,77.94,-1.1,982,12.9948,10.0677
2020,1,1,14,30,47,830,287,47,830,287,0,-4.3,73.22,0,0.01,5.9,0.4,235,76.64,-0.7000000000000001,981,14.2630,10.9944
2020,1,1,15,30,65,285,119,39,714,175,4,-4.1000000000000005,78.99,100,0.01,5.800000000000001,0.4,224,76.91,-0.5,981,5.6752,4.3305
2020,1,1,16,30,18,11,19,22,410,48,4,-3.8000000000000003,86.38,100,0.01,6.1000000000000005,0.5,211,77.85000000000001,-0.4,981,0.0000,0.0000
2020,1,1,17,30,0,0,0,0,0,0,7,-3.3000000000000003,95.38,0,0.01,6.6000000000000005,0.6000000000000001,203,79.56,-0.2,980,0.0000,0.0000
2020,1,1,18,30,0,0,0,0,0,0,6,-2.5,105.04,0,0.01,6.9,0.7000000000000001,201,83.29,0,980,0.0000,0.0000
2020,1,1,19,30,0,0,0,0,0,0,7,-1.8,115.26,0,0.01,7.7,0.8,202,84.45,0.5,980,0.0000,0.0000
2020,1,1,20,30,0,0,0,0,0,0,7,-1.6,125.72,0,0.01,7.9,0.9,205,85.26,0.6000000000000001,979,0.0000,0.0000
2020,1,1,21,30,0,0,0,0,0,0,7,-1.5,136.07,0,0.01,7.7,1,208,84.9,0.7000000000000001,979,0.0000,0.0000
2020,1,1,22,30,0,0,0,0,0,0,4,-1.4000000000000001,145.74,0,0.01,7.4,1,209,85.5,0.8,978,0.0000,0.0000
2020,1,1,23,30,0,0,0,0,0,0,7,-1.1,153.57,0,0.01,7.1000000000000005,1,212,86.58,0.9,978,0.0000,0.0000
2020,1,2,0,30,0,0,0,0,0,0,4,-0.7000000000000001,157.29,0,0.01,6.9,1.1,214,87.51,1.1,978,0.0000,0.0000
2020,1,2,1,30,0,0,0,0,0,0,4,-0.30000000000000004,154.92000000000002,0,0.01,6.7,1.2000000000000002,216,88.95,1.3,978,0.0000,0.0000
2020,1,2,2,30,0,0,0,0,0,0,4,0,147.8,0,0.01,6.5,1.3,217,90.04,1.5,978,0.0000,0.0000
2020,1,2,3,30,0,0,0,0,0,0,4,0.30000000000000004,138.42000000000002,0,0.01,6.4,1.4000000000000001,213,91.36,1.6,977,0.0000,0.0000
2020,1,2,4,30,0,0,0,0,0,0,4,0.6000000000000001,128.16,0,0.01,6.4,1.4000000000000001,209,92.58,1.7000000000000002,977,0.0000,0.0000
2020,1,2,5,30,0,0,0,0,0,0,4,0.9,117.69,0,0.01,6.300000000000001,1.5,208,93.78,1.8,977,0.0000,0.0000
2020,1,2,6,30,0,0,0,0,0,0,4,1.1,107.38,0,0.01,6.300000000000001,1.5,208,94.26,1.9000000000000001,977,0.0000,0.0000
2020,1,2,7,30,0,0,0,0,0,0,7,1.2000000000000002,97.55,0,0.01,6.4,1.5,209,94.25,2,977,0.0000,0.0000
2020,1,2,8,30,6,0,6,15,105,18,7,1.3,88.2,86,0.01,6.5,1.6,208,94.18,2.1,977,0.0000,0.0000
2020,1,2,9,30,29,0,29,50,459,125,7,1.4000000000000001,80.56,100,0.01,6.5,1.6,208,94.2,2.2,977,0.0000,0.0000
2020,1,2,10,30,64,0,64,66,631,236,4,1.5,74.34,14,0.01,6.300000000000001,1.6,208,92.17,2.6,976,3.1480,2.4221
2020,1,2,11,30,35,0,35,72,717,315,4,1.6,70.18,0,0.01,6.2,1.5,208,90.51,3,976,1.7889,1.3850
2020,1,2,12,30,40,0,40,74,748,348,4,1.8,68.52,0,0.01,6.7,1.4000000000000001,211,89.62,3.3000000000000003,976,2.0745,1.6093
2020,1,2,13,30,80,2,81,72,738,330,4,1.9000000000000001,69.53,0,0.01,7.2,1.3,215,88.62,3.6,976,4.1641,3.2265
2020,1,2,14,30,38,0,38,62,698,265,4,2.1,73.10000000000001,7,0.01,7.2,1.2000000000000002,219,88.48,3.8000000000000003,976,1.8906,1.4576
2020,1,2,15,30,31,0,31,48,584,161,4,2.2,78.86,100,0.01,6.9,1.2000000000000002,225,89.43,3.8000000000000003,976,1.4789,1.1287
2020,1,2,16,30,10,0,10,25,288,44,4,2.3000000000000003,86.25,100,0.01,6.800000000000001,1.2000000000000002,230,91.18,3.6,977,0.0000,0.0000
2020,1,2,17,30,0,0,0,0,0,0,4,2.3000000000000003,95.24,0,0.01,6.7,1.2000000000000002,234,91.74,3.5,977,0.0000,0.0000
2020,1,2,18,30,0,0,0,0,0,0,4,2.3000000000000003,104.9,0,0.01,6.7,1.2000000000000002,236,92.61,3.4000000000000004,977,0.0000,0.0000
2020,1,2,19,30,0,0,0,0,0,0,4,2.4000000000000004,115.12,0,0.01,6.6000000000000005,1.2000000000000002,243,94.2,3.2,978,0.0000,0.0000
2020,1,2,20,30,0,0,0,0,0,0,4,2.4000000000000004,125.58,0,0.01,6.2,1.2000000000000002,245,94.83,3.1,978,0.0000,0.0000
2020,1,2,21,30,0,0,0,0,0,0,4,2.3000000000000003,135.93,0,0.01,5.9,1.2000000000000002,242,95.4,3,979,0.0000,0.0000
2020,1,2,22,30,0,0,0,0,0,0,4,2.2,145.6,0,0.01,5.7,1.1,240,95.38,2.9000000000000004,979,0.0000,0.0000
2020,1,2,23,30,0,0,0,0,0,0,4,2.1,153.44,0,0.01,5.6000000000000005,1.1,244,95.82000000000001,2.7,980,0.0000,0.0000
