tile_count,solar_system_count,total_panel_area,fips,county,solar_panel_area_divided_by_area,solar_panel_area_per_capita,tile_count_residential,solar_system_count_residential,total_panel_area_residential,lat,lon,daily_solar_radiation,number_of_solar_system_per_household,Median_Income ,Education_Level,Homeownership,Population_Density
0,0,0,26007000900,Alpena County,0,0,0,0,0,44.956,-83.381,3.59,0,"42,792",17.5,80.07,19.1
0,0,0,26007990000,Alpena County,0,,0,0,0,,,,,"42,792",17.5,80.07,19.1
0,0,0,26007000400,Alpena County,0,0,0,0,0,45.069,-83.418,3.73,0,"42,792",17.5,80.07,19.1
0,0,0,26007000100,Alpena County,0,0,0,0,0,45.031,-83.657,3.73,0,"42,792",17.5,80.07,19.1
2,1,42.86009994,26007000200,Alpena County,0.277858562,0.010032795,2,1,42.86009994,45.054,-83.593,3.73,0.000558347,"42,792",17.5,80.07,19.1
0,0,0,26007000300,Alpena County,0,0,0,0,0,45.09,-83.279,3.73,0,"42,792",17.5,80.07,19.1
1,1,5.193921093,26007000500,Alpena County,5.523181117,0.002783452,1,1,5.193921093,45.067,-83.454,3.73,0.001149425,"42,792",17.5,80.07,19.1
1,1,12.90324058,26007000600,Alpena County,1.454183981,0.003874847,1,1,12.90324058,45.1,-83.491,3.73,0.000722022,"42,792",17.5,80.07,19.1
2,2,39.59903835,26007000700,Alpena County,2.430207374,0.013673701,2,2,39.59903835,45.042,-83.506,3.73,0.001438849,"42,792",17.5,80.07,19.1
4,4,112.7940629,26007000800,Alpena County,19.4600044,0.00680478,3,3,20.83623537,45.052,-83.447,3.73,0.002120141,"42,792",17.5,80.07,19.1
3,3,88.85760607,26025001000,Calhoun County,29.45186634,0.023408221,3,3,88.85760607,42.348,-85.195,3.75,0.001939237,"48,413",21.2,72.89,73
0,0,0,26025001100,Calhoun County,0,0,0,0,0,42.344,-85.226,3.75,0,"48,413",21.2,72.89,73
0,0,0,26025001200,Calhoun County,0,0,0,0,0,42.356,-85.25,3.75,0,"48,413",21.2,72.89,73
2,2,25.34344122,26025001300,Calhoun County,5.824518542,0.006208584,2,2,25.34344122,42.331,-85.242,3.75,0.001295337,"48,413",21.2,72.89,73
3,3,39.53580712,26025001400,Calhoun County,11.61221859,0.009417772,3,3,39.53580712,42.305,-85.242,3.75,0.001778305,"48,413",21.2,72.89,73
10,9,550.7508221,26025001500,Calhoun County,11.19878431,0.027448466,6,6,152.8330571,42.272,-85.248,3.75,0.002740978,"48,413",21.2,72.89,73
3,3,85.686867,26025001600,Calhoun County,14.91268729,0.007371225,2,2,19.57797239,42.294,-85.208,3.75,0.001829826,"48,413",21.2,72.89,73
3,3,45.8824737,26025001700,Calhoun County,23.16188858,0.010695215,3,3,45.8824737,42.284,-85.189,3.75,0.001729107,"48,413",21.2,72.89,73
3,3,34.70648842,26025001800,Calhoun County,10.65785304,0.005883453,3,3,34.70648842,42.265,-85.199,3.75,0.001086563,"48,413",21.2,72.89,73
5,5,80.50332923,26025001900,Calhoun County,6.151697587,0.021634864,5,5,80.50332923,42.278,-85.141,3.75,0.003403676,"48,413",21.2,72.89,73
3,3,153.3097795,26025002000,Calhoun County,2.862159178,0.008759902,2,2,44.67549985,42.289,-85.096,3.75,0.000938086,"48,413",21.2,72.89,73
3,3,109.7096963,26025002100,Calhoun County,69.26790631,0.100466755,3,3,109.7096963,42.316,-85.129,3.75,0.006396588,"48,413",21.2,72.89,73
0,0,0,26025002200,Calhoun County,0,0,0,0,0,42.367,-85.105,3.75,0,"48,413",21.2,72.89,73
1,1,10.7763417,26025002400,Calhoun County,1.159995098,0.003795823,1,1,10.7763417,42.388,-85.208,3.75,0.000899281,"48,413",21.2,72.89,73
60,24,3389.132299,26025002500,Calhoun County,21.29512026,0.091037861,17,13,356.9594534,42.384,-85.254,3.75,0.008094645,"48,413",21.2,72.89,73
4,4,105.8133135,26025002600,Calhoun County,12.61261734,0.054712158,4,4,105.8133135,42.317,-85.276,3.75,0.005405405,"48,413",21.2,72.89,73
1,1,32.18126009,26025002700,Calhoun County,0.441902045,0.005159734,1,1,32.18126009,42.203,-85.179,3.75,0.00042517,"48,413",21.2,72.89,73
0,0,0,26025002800,Calhoun County,0,0,0,0,0,42.116,-85.178,3.75,0,"48,413",21.2,72.89,73
0,0,0,26025002900,Calhoun County,0,0,0,0,0,42.16,-85.002,3.75,0,"48,413",21.2,72.89,73
0,0,0,26025003000,Calhoun County,0,0,0,0,0,42.16,-84.885,3.73,0,"48,413",21.2,72.89,73
1,1,27.58588701,26025003100,Calhoun County,0.762548109,0.009288177,1,1,27.58588701,42.115,-84.768,3.73,0.00092081,"48,413",21.2,72.89,73
0,0,0,26025003200,Calhoun County,0,0,0,0,0,42.247,-84.77,3.73,0,"48,413",21.2,72.89,73
1,1,45.97084373,26025002300,Calhoun County,3.700676827,0.011458336,1,1,45.97084373,42.379,-85.153,3.75,0.000595948,"48,413",21.2,72.89,73
1,1,10.29036384,26025003300,Calhoun County,1.866948066,0.004810829,1,1,10.29036384,42.239,-84.78,3.73,0.001222494,"48,413",21.2,72.89,73
0,0,0,26025003400,Calhoun County,0,0,0,0,0,42.232,-84.736,3.73,0,"48,413",21.2,72.89,73
7,5,263.1272492,26025004000,Calhoun County,1.415547907,0.004897207,2,2,20.37238145,42.24,-84.947,3.73,0.001092299,"48,413",21.2,72.89,73
1,1,48.75487014,26025003500,Calhoun County,24.18391538,0.019778852,1,1,48.75487014,42.256,-84.735,3.73,0.001187648,"48,413",21.2,72.89,73
1,1,15.39831584,26025003600,Calhoun County,5.463580838,0.006911273,1,1,15.39831584,42.262,-84.777,3.73,0.001036269,"48,413",21.2,72.89,73
0,0,0,26025003700,Calhoun County,0,0,0,0,0,42.378,-84.892,3.73,0,"48,413",21.2,72.89,73
