Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,983619,-,-,-,42.29,-83.74,-5,261,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2015,1,1,0,30,0,0,0,0,0,0,1,-13,160.65,0,0.115,6.9,0.356,247.60000000000002,63.730000000000004,-8,980,0.0000,0.0000
2015,1,1,1,30,0,0,0,0,0,0,1,-13,157.93,0,0.115,6.6000000000000005,0.38,248.8,66.91,-8,980,0.0000,0.0000
2015,1,1,2,30,0,0,0,0,0,0,0,-12,149.84,0,0.115,6.4,0.372,248.3,69.88,-8,980,0.0000,0.0000
2015,1,1,3,30,0,0,0,0,0,0,0,-12,139.61,0,0.115,6.300000000000001,0.357,244.5,72.2,-8,980,0.0000,0.0000
2015,1,1,4,30,0,0,0,0,0,0,7,-11,128.66,0,0.115,6.5,0.353,239.5,73.7,-8,980,0.0000,0.0000
2015,1,1,5,30,0,0,0,0,0,0,4,-11,117.58,0,0.115,6.6000000000000005,0.34500000000000003,233.9,74.15,-8,980,0.0000,0.0000
2015,1,1,6,30,0,0,0,0,0,0,7,-11,106.73,0,0.115,6.6000000000000005,0.334,228.8,73.58,-8,980,0.0000,0.0000
2015,1,1,7,30,0,0,0,0,0,0,7,-12,96.36,0,0.115,6.7,0.34600000000000003,226.20000000000002,72.49,-8,980,0.0000,0.0000
2015,1,1,8,30,21,319,38,21,319,38,4,-12,86.8,4,0.115,7.1000000000000005,0.438,228.20000000000002,71.74,-8,980,0.0000,0.0000
2015,1,1,9,30,47,655,179,47,655,179,1,-12,78.42,0,0.115,7.800000000000001,0.5630000000000001,235.3,66.82000000000001,-7,980,8.5509,6.5307
