Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2018,1,1,0,30,0,0,0,0,0,0,4,-18.3,160.62,0,0.5,2.3,0.2,273,80.09,-15.6,1000,0,0
2018,1,1,1,30,0,0,0,0,0,0,4,-17.6,157.91,0,0.5,2.4,0.2,278,82.05,-15.2,1000,0,0
2018,1,1,2,30,0,0,0,0,0,0,4,-17,149.84,0,0.5,2.6,0.2,284,83.13,-14.8,1000,0,0
2018,1,1,3,30,0,0,0,0,0,0,4,-16.7,139.61,0,0.5,2.7,0.2,289,84.22,-14.6,1000,0,0
2018,1,1,4,30,0,0,0,0,0,0,4,-16.6,128.67,0,0.5,2.9,0.2,292,85.14,-14.7,1000,0,0
2018,1,1,5,30,0,0,0,0,0,0,4,-17,117.59,0,0.5,3,0.2,294,84.29,-14.9,1000,0,0
2018,1,1,6,30,0,0,0,0,0,0,4,-17.4,106.74,0,0.5,3.2,0.2,296,82.8,-15.1,1001,0,0
2018,1,1,7,30,0,0,0,0,0,0,4,-17.8,96.37,0,0.5,3.4,0.2,295,80.58,-15.2,1001,0,0
2018,1,1,8,30,18,34,20,25,391,48,4,-18,86.57,100,0.5,4,0.2,294,75.02,-14.6,1001,0,0
2018,1,1,9,30,76,57,88,48,731,196,4,-17.7,78.34,100,0.5,5.2,0.2,296,70.77,-13.5,1002,4.2051,3.212
2018,1,1,10,30,125,164,177,62,859,333,4,-17.8,71.64,0,0.5,5.9,0.2,299,65.64,-12.7,1002,8.9267,6.8976
2018,1,1,11,30,163,144,219,72,914,427,4,-17.6,67.12,0,0.5,6,0.2,301,63.99,-12.2,1002,11.4908,8.927
2018,1,1,12,30,141,351,288,75,931,465,4,-17.3,65.25,0,0.5,5.9,0.2,302,64.31,-11.9,1002,15.3329,11.9322
2018,1,1,13,30,68,814,395,74,919,444,4,-17,66.29,7,0.5,5.7,0.2,303,64.67,-11.7,1001,20.8628,16.2208
2018,1,1,14,30,80,638,297,68,873,365,4,-16.8,70.09,0,0.5,5.3,0.2,304,65.79,-11.7,1002,15.1923,11.7635
2018,1,1,15,30,60,535,187,54,755,234,4,-16.7,76.22,86,0.5,4.7,0.3,304,67.6,-11.9,1002,9.0524,6.9413
2018,1,1,16,30,35,260,62,32,511,85,4,-16.6,84.09,100,0.5,3.7,0.3,300,72.3,-12.6,1003,0,0
2018,1,1,17,30,0,0,0,0,0,0,4,-16.9,93.51,0,0.5,3.1,0.3,293,76.43,-13.6,1003,0,0
2018,1,1,18,30,0,0,0,0,0,0,4,-17.5,103.68,0,0.5,3,0.3,290,75.29,-14.1,1003,0,0
2018,1,1,19,30,0,0,0,0,0,0,4,-17.6,114.42,0,0.5,3.2,0.3,287,77.02,-14.5,1003,0,0
2018,1,1,20,30,0,0,0,0,0,0,4,-17.3,125.46,0,0.5,3.2,0.3,285,79.18,-14.5,1003,0,0
2018,1,1,21,30,0,0,0,0,0,0,4,-16.9,136.48,0,0.5,3.2,0.3,283,81.14,-14.4,1003,0,0
2018,1,1,22,30,0,0,0,0,0,0,4,-16.6,146.99,0,0.5,3.2,0.3,280,83.53,-14.4,1003,0,0
2018,1,1,23,30,0,0,0,0,0,0,4,-16.4,155.9,0,0.5,3.1,0.3,275,84.84,-14.4,1003,0,0
2018,1,2,0,30,0,0,0,0,0,0,4,-16.1,160.53,0,0.5,3.2,0.3,269,85.17,-14.2,1002,0,0
2018,1,2,1,30,0,0,0,0,0,0,4,-15.7,157.88,0,0.5,3.4,0.3,261,85.49,-13.8,1002,0,0
2018,1,2,2,30,0,0,0,0,0,0,4,-15.2,149.85,0,0.5,3.8,0.3,254,85.97,-13.4,1002,0,0
2018,1,2,3,30,0,0,0,0,0,0,4,-14.9,139.64,0,0.5,4.2,0.3,250,87.52,-13.3,1001,0,0
2018,1,2,4,30,0,0,0,0,0,0,4,-14.9,128.7,0,0.5,4.6,0.3,248,87.63,-13.3,1001,0,0
2018,1,2,5,30,0,0,0,0,0,0,4,-15.1,117.63,0,0.5,4.9,0.3,244,87.95,-13.5,1001,0,0
2018,1,2,6,30,0,0,0,0,0,0,7,-15.5,106.76,0,0.5,5.2,0.3,243,87.84,-13.9,1000,0,0
2018,1,2,7,30,0,0,0,0,0,0,7,-16,96.39,0,0.5,5.5,0.3,244,85.48,-14.1,1000,0,0
2018,1,2,8,30,22,105,28,25,377,47,7,-16.1,86.58,100,0.5,5.8,0.3,244,83.18,-13.9,1000,0,0
