Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,998132,-,-,-,42.33,-83.06,-5,186,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2016,1,1,0,30,0,0,0,0,0,0,4,-4,160.68,0,0.866,5.7,0.542,252.60000000000002,80.98,-2,990,0.0000,0.0000
2016,1,1,1,30,0,0,0,0,0,0,4,-5,157.62,0,0.866,5.6000000000000005,0.525,254.20000000000002,77.78,-2,990,0.0000,0.0000
2016,1,1,2,30,0,0,0,0,0,0,4,-5,149.39000000000001,0,0.866,5.4,0.52,253.20000000000002,80.63,-3,990,0.0000,0.0000
2016,1,1,3,30,0,0,0,0,0,0,4,-6,139.1,0,0.866,5.5,0.515,250.8,78.41,-3,990,0.0000,0.0000
2016,1,1,4,30,0,0,0,0,0,0,4,-6,128.14000000000001,0,0.866,5.800000000000001,0.506,248.5,77.16,-3,990,0.0000,0.0000
2016,1,1,5,30,0,0,0,0,0,0,4,-6,117.08,0,0.866,6,0.501,247.3,77.01,-3,990,0.0000,0.0000
2016,1,1,6,30,0,0,0,0,0,0,4,-6,106.25,0,0.866,6.2,0.507,248.4,77.26,-3,990,0.0000,0.0000
2016,1,1,7,30,0,0,0,0,0,0,4,-6,95.92,0,0.866,6.2,0.518,251,77.19,-3,990,0.0000,0.0000
2016,1,1,8,30,18,0,18,27,242,42,4,-6,86.41,4,0.866,6.5,0.515,252.20000000000002,71.77,-2,990,0.0000,0.0000
2016,1,1,9,30,77,20,81,69,560,184,4,-6,78.11,4,0.866,7,0.493,255.4,71.51,-2,990,3.8744,2.9606
2016,1,1,10,30,125,43,139,98,683,315,4,-6,71.48,0,0.866,7.2,0.47600000000000003,259.6,70.03,-1,990,7.0206,5.4260
2016,1,1,11,30,147,18,154,115,743,405,4,-6,67.07000000000001,0,0.866,7.1000000000000005,0.47800000000000004,259.8,69.3,-1,990,8.0835,6.2803
2016,1,1,12,30,117,0,117,119,770,440,4,-6,65.34,0,0.866,7.1000000000000005,0.487,259.40000000000003,68.98,-1,990,6.2248,4.8438
2016,1,1,13,30,83,0,83,118,745,415,4,-6,66.52,0,0.866,7,0.492,260.90000000000003,68.68,-1,990,4.3759,3.4015
2016,1,1,14,30,50,0,50,105,683,334,4,-7,70.45,4,0.866,6.7,0.51,264,68.21000000000001,-2,990,2.5493,1.9731
