Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2018,1,1,0,30,0,0,0,0,0,0,8,-19.6,160.64,0,0.87,2.5,0.2,275,76.92,-16.5,1009,0,0
2018,1,1,1,30,0,0,0,0,0,0,4,-18.9,157.62,0,0.87,2.6,0.2,275,78.24,-16,1009,0,0
2018,1,1,2,30,0,0,0,0,0,0,4,-18,149.41,0,0.87,2.7,0.2,277,80.24,-15.4,1009,0,0
2018,1,1,3,30,0,0,0,0,0,0,4,-17.2,139.14,0,0.87,2.9,0.2,281,83.03,-15,1008,0,0
2018,1,1,4,30,0,0,0,0,0,0,4,-16.7,128.18,0,0.87,2.9,0.2,284,85.62,-14.8,1008,0,0
2018,1,1,5,30,0,0,0,0,0,0,4,-16.6,117.11,0,0.87,3.1,0.2,287,87.19,-14.9,1008,0,0
2018,1,1,6,30,0,0,0,0,0,0,4,-16.6,106.27,0,0.87,3.3,0.2,288,87.25,-15,1009,0,0
2018,1,1,7,30,0,0,0,0,0,0,8,-16.8,95.94,0,0.87,3.6,0.2,289,85.38,-14.9,1009,0,0
2018,1,1,8,30,22,74,27,25,417,53,4,-16.9,86.2,100,0.87,4.3,0.2,289,79.66,-14.2,1009,0,0
2018,1,1,9,30,79,155,111,48,741,202,4,-16.7,78.02,100,0.87,5.4,0.2,291,74.36,-13.1,1010,5.3116,4.0594
2018,1,1,10,30,94,477,246,63,864,338,4,-17.1,71.41,0,0.87,6.1,0.2,294,67.48,-12.3,1010,12.433,9.61
2018,1,1,11,30,75,715,354,71,916,429,4,-17,66.99,0,0.87,6.3,0.2,296,64.55,-11.7,1010,18.5937,14.4469
2018,1,1,12,30,66,793,398,75,930,464,4,-16.7,65.26,0,0.87,6.2,0.2,297,65.11,-11.4,1009,21.1877,16.4883
