Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,984357,-,-,-,43.01,-83.7,-5,232,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2019,1,1,0,30,0,0,0,0,0,0,4,-0.30000000000000004,159.95000000000002,0,0.15,5.7,1.5,338,95.81,0.30000000000000004,978,0.0000,0.0000
2019,1,1,1,30,0,0,0,0,0,0,4,-0.5,157.32,0,0.15,5.800000000000001,1.3,335,95.77,0.1,981,0.0000,0.0000
2019,1,1,2,30,0,0,0,0,0,0,4,-0.8,149.46,0,0.15,5.4,1.2000000000000002,332,95.14,-0.1,983,0.0000,0.0000
2019,1,1,3,30,0,0,0,0,0,0,4,-1.1,139.41,0,0.15,4.800000000000001,1.1,328,93.97,-0.2,986,0.0000,0.0000
2019,1,1,4,30,0,0,0,0,0,0,4,-1.3,128.6,0,0.15,4.4,1.1,326,93.65,-0.4,988,0.0000,0.0000
2019,1,1,5,30,0,0,0,0,0,0,4,-1.7000000000000002,117.65,0,0.15,4.2,1,329,93.88,-0.8,989,0.0000,0.0000
2019,1,1,6,30,0,0,0,0,0,0,4,-2.4000000000000004,106.91,0,0.15,3.9000000000000004,1,336,94.28,-1.6,991,0.0000,0.0000
2019,1,1,7,30,0,0,0,0,0,0,4,-3.7,96.65,0,0.15,3.8000000000000003,0.9,345,92.21000000000001,-2.6,993,0.0000,0.0000
2019,1,1,8,30,11,0,11,23,199,34,4,-5.1000000000000005,86.96000000000001,86,0.15,4.1000000000000005,0.9,175,84.31,-2.8000000000000003,994,0.0000,0.0000
2019,1,1,9,30,60,0,60,55,562,164,4,-6,78.84,100,0.15,4.3,0.8,2,76.43,-2.4000000000000004,995,2.8624,2.1847
