Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,966602,-,-,-,42.73,-84.54,-5,262,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2015,1,1,0,30,0,0,0,0,0,0,4,-12,160.15,0,0.866,7.300000000000001,0.387,250.4,67.06,-7,980,0.0000,0.0000
2015,1,1,1,30,0,0,0,0,0,0,4,-11,157.87,0,0.866,7.1000000000000005,0.39,251.20000000000002,69.52,-7,980,0.0000,0.0000
2015,1,1,2,30,0,0,0,0,0,0,4,-11,150.11,0,0.866,6.9,0.375,250.4,66.19,-6,980,0.0000,0.0000
2015,1,1,3,30,0,0,0,0,0,0,4,-11,140.06,0,0.866,6.9,0.369,247.9,67.69,-6,980,0.0000,0.0000
2015,1,1,4,30,0,0,0,0,0,0,7,-10,129.22,0,0.866,6.9,0.365,243.20000000000002,68.51,-6,980,0.0000,0.0000
2015,1,1,5,30,0,0,0,0,0,0,7,-10,118.22,0,0.866,6.800000000000001,0.359,236.3,68.72,-6,980,0.0000,0.0000
2015,1,1,6,30,0,0,0,0,0,0,7,-10,107.41,0,0.866,6.9,0.368,230.5,68.53,-6,980,0.0000,0.0000
2015,1,1,7,30,0,0,0,0,0,0,4,-10,97.09,0,0.866,7.1000000000000005,0.441,229.9,73.53,-7,980,0.0000,0.0000
2015,1,1,8,30,12,0,12,19,210,28,4,-10,87.54,4,0.866,7.5,0.5630000000000001,232.9,68.3,-6,980,0.0000,0.0000
2015,1,1,9,30,67,8,69,56,589,167,4,-10,79.15,4,0.866,8.1,0.639,238.60000000000002,64.93,-5,980,3.2898,2.5096
