Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,943087,-,-,-,42.97,-85.66,-5,202,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.0
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2018,1,1,0,30,0,0,0,0,0,0,4,-15.9,159.77,0,0.87,3.3000000000000003,0.2,305,83.7,-13.700000000000001,1005,0.0000,0.0000
2018,1,1,1,30,0,0,0,0,0,0,4,-16.1,158.06,0,0.87,3.6,0.2,304,82.09,-13.700000000000001,1005,0.0000,0.0000
2018,1,1,2,30,0,0,0,0,0,0,4,-16,150.67000000000002,0,0.87,4,0.2,304,81.34,-13.5,1006,0.0000,0.0000
2018,1,1,3,30,0,0,0,0,0,0,4,-15.9,140.79,0,0.87,4.4,0.2,305,81.15,-13.4,1006,0.0000,0.0000
2018,1,1,4,30,0,0,0,0,0,0,4,-16.2,130.03,0,0.87,4.5,0.2,305,79.19,-13.4,1006,0.0000,0.0000
2018,1,1,5,30,0,0,0,0,0,0,4,-16.400000000000002,119.07000000000001,0,0.87,4.3,0.2,305,80.02,-13.700000000000001,1006,0.0000,0.0000
2018,1,1,6,30,0,0,0,0,0,0,4,-16.400000000000002,108.27,0,0.87,3.9000000000000004,0.2,305,81.82000000000001,-14,1006,0.0000,0.0000
2018,1,1,7,30,0,0,0,0,0,0,4,-16.6,97.93,0,0.87,3.6,0.2,304,82.58,-14.3,1006,0.0000,0.0000
2018,1,1,8,30,10,27,11,18,214,25,4,-16.6,88.01,71,0.87,4,0.2,305,78.46000000000001,-13.700000000000001,1007,0.0000,0.0000
2018,1,1,9,30,65,30,70,49,655,165,4,-15.700000000000001,79.79,100,0.87,4.800000000000001,0.2,308,77.49,-12.600000000000001,1007,3.3368,2.5434
