Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,965369,-,-,-,45.85,-84.62,-5,200,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.0
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,Cloud Type,Fill Flag,Precipitable Water,Global Horizontal UV Irradiance (295-385nm),Wind Direction,Global Horizontal UV Irradiance (280-400nm),Solar Zenith Angle,Clearsky GHI,GHI,Clearsky DNI,Clearsky DHI
2020,1,1,0,30,0,0,-4.800000000000001,0.45,4,91.51,-3.6,981,4,0,0.7000000000000001,0.0000,280,0.0000,157.08,0,0,0,0
2020,1,1,1,30,0,0,-5,0.45,3.9000000000000004,91.83,-3.9000000000000004,981,4,0,0.6000000000000001,0.0000,279,0.0000,155.19,0,0,0,0
2020,1,1,2,30,0,0,-5.300000000000001,0.45,3.9000000000000004,92.31,-4.2,982,4,0,0.5,0.0000,279,0.0000,148.39000000000001,0,0,0,0
2020,1,1,3,30,0,0,-5.6000000000000005,0.45,3.8000000000000003,92.79,-4.6000000000000005,982,4,0,0.5,0.0000,279,0.0000,139.18,0,0,0,0
2020,1,1,4,30,0,0,-5.9,0.45,3.7,93.47,-5,982,4,0,0.5,0.0000,279,0.0000,129,0,0,0,0
2020,1,1,5,30,0,0,-6.2,0.45,3.5,93.26,-5.300000000000001,982,4,0,0.4,0.0000,278,0.0000,118.57000000000001,0,0,0,0
2020,1,1,6,30,0,0,-6.6000000000000005,0.45,3.3000000000000003,93.17,-5.7,982,4,0,0.5,0.0000,274,0.0000,108.28,0,0,0,0
2020,1,1,7,30,0,0,-7.1000000000000005,0.45,3.1,92.51,-6.1000000000000005,982,4,0,0.5,0.0000,267,0.0000,98.44,0,0,0,0
2020,1,1,8,30,6,0,-7.7,0.45,3.1,87.63,-6,983,4,71,0.5,0.0000,256,0.0000,88.96000000000001,15,6,171,12
2020,1,1,9,30,45,473,-7.800000000000001,0.45,3.2,81.39,-5.1000000000000005,983,0,36,0.5,0.0000,242,0.0000,81.34,132,116,627,38
