Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,998132,-,-,-,42.33,-83.06,-5,186,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2019,1,1,0,30,0,0,0,0,0,0,4,2.9000000000000004,160.67000000000002,0,0.13,6.2,1.6,301,100,2.9000000000000004,980,0.0000,0.0000
2019,1,1,1,30,0,0,0,0,0,0,4,1.5,157.63,0,0.13,5.9,1.4000000000000001,318,98.32000000000001,1.7000000000000002,983,0.0000,0.0000
2019,1,1,2,30,0,0,0,0,0,0,4,0.4,149.4,0,0.13,5.6000000000000005,1.2000000000000002,319,96.71000000000001,0.9,986,0.0000,0.0000
2019,1,1,3,30,0,0,0,0,0,0,4,0,139.13,0,0.13,5.300000000000001,1.2000000000000002,314,95.3,0.7000000000000001,989,0.0000,0.0000
2019,1,1,4,30,0,0,0,0,0,0,4,-0.2,128.17000000000002,0,0.13,5.1000000000000005,1.2000000000000002,315,94.08,0.6000000000000001,991,0.0000,0.0000
2019,1,1,5,30,0,0,0,0,0,0,4,-0.6000000000000001,117.10000000000001,0,0.13,4.5,1.1,321,94.25,0.2,993,0.0000,0.0000
2019,1,1,6,30,0,0,0,0,0,0,4,-1,106.26,0,0.13,3.7,1,327,95.12,-0.30000000000000004,995,0.0000,0.0000
2019,1,1,7,30,0,0,0,0,0,0,4,-1.3,95.93,0,0.13,3.5,1,336,93.3,-0.4,996,0.0000,0.0000
2019,1,1,8,30,14,0,14,28,263,45,4,-1.8,86.21000000000001,100,0.13,3.8000000000000003,1,347,87.11,0.1,998,0.0000,0.0000
2019,1,1,9,30,62,0,62,57,584,178,4,-2.2,78.03,100,0.13,4.1000000000000005,0.9,353,80.26,0.8,999,2.9667,2.2673
2019,1,1,10,30,94,0,94,73,715,301,4,-3,71.42,0,0.13,3.7,0.9,352,73.46000000000001,1.2000000000000002,1000,4.7504,3.6717
2019,1,1,11,30,147,28,158,83,773,385,4,-3.4000000000000004,67.01,21,0.13,3.3000000000000003,0.9,350,69.36,1.6,1000,8.2975,6.4469
2019,1,1,12,30,134,7,137,87,792,418,4,-3.6,65.28,0,0.13,3.2,0.9,351,68.02,1.7000000000000002,999,7.2922,5.6747
2019,1,1,13,30,119,0,119,87,772,395,4,-3.7,66.45,0,0.13,3.2,0.9,352,67.52,1.7000000000000002,999,6.2774,4.8799
2019,1,1,14,30,131,52,148,79,713,319,4,-3.8000000000000003,70.36,0,0.13,3.2,0.9,354,68.88,1.3,1000,7.5522,5.8457
2019,1,1,15,30,36,0,36,65,586,201,4,-3.9000000000000004,76.59,100,0.13,2.9000000000000004,0.9,182,72.42,0.5,1001,1.7379,1.3317
2019,1,1,16,30,12,0,12,37,306,66,4,-3.9000000000000004,84.52,100,0.13,2.8000000000000003,0.9,12,79.49,-0.8,1001,0.0000,0.0000
2019,1,1,17,30,0,0,0,0,0,0,4,-4.4,93.99,0,0.13,3,0.9,20,82.25,-1.8,1002,0.0000,0.0000
2019,1,1,18,30,0,0,0,0,0,0,7,-5,104.18,0,0.13,3.2,0.9,24,80.79,-2.1,1002,0.0000,0.0000
2019,1,1,19,30,0,0,0,0,0,0,7,-5.4,114.94,0,0.13,3.1,0.9,31,82.2,-2.8000000000000003,1002,0.0000,0.0000
2019,1,1,20,30,0,0,0,0,0,0,4,-5.800000000000001,125.98,0,0.13,2.7,0.9,33,82.09,-3.2,1002,0.0000,0.0000
2019,1,1,21,30,0,0,0,0,0,0,4,-6.1000000000000005,136.99,0,0.13,2.3000000000000003,1,33,82.04,-3.5,1002,0.0000,0.0000
2019,1,1,22,30,0,0,0,0,0,0,4,-6.300000000000001,147.46,0,0.13,1.9000000000000001,1,28,82.05,-3.7,1002,0.0000,0.0000
2019,1,1,23,30,0,0,0,0,0,0,4,-6.5,156.24,0,0.13,1.6,1,19,82.32000000000001,-3.9000000000000004,1002,0.0000,0.0000
2019,1,2,0,30,0,0,0,0,0,0,4,-6.6000000000000005,160.58,0,0.13,1.5,1,13,82.22,-4,1002,0.0000,0.0000
2019,1,2,1,30,0,0,0,0,0,0,4,-6.7,157.6,0,0.13,1.4000000000000001,1,16,82.9,-4.2,1002,0.0000,0.0000
2019,1,2,2,30,0,0,0,0,0,0,4,-6.800000000000001,149.42000000000002,0,0.13,1.4000000000000001,0.9,25,83.60000000000001,-4.4,1003,0.0000,0.0000
2019,1,2,3,30,0,0,0,0,0,0,4,-6.9,139.16,0,0.13,1.2000000000000002,0.9,34,84.27,-4.6000000000000005,1002,0.0000,0.0000
2019,1,2,4,30,0,0,0,0,0,0,8,-6.800000000000001,128.2,0,0.13,1.1,0.9,47,84.52,-4.6000000000000005,1002,0.0000,0.0000
2019,1,2,5,30,0,0,0,0,0,0,4,-6.9,117.14,0,0.13,1.3,0.9,66,84.8,-4.7,1002,0.0000,0.0000
2019,1,2,6,30,0,0,0,0,0,0,7,-6.9,106.29,0,0.13,1.6,0.9,86,84.7,-4.7,1002,0.0000,0.0000
2019,1,2,7,30,0,0,0,0,0,0,7,-6.800000000000001,95.95,0,0.13,1.9000000000000001,1,105,82.28,-4.2,1002,0.0000,0.0000
2019,1,2,8,30,14,1,14,26,265,44,4,-6.300000000000001,86.21000000000001,100,0.13,2.4000000000000004,1,128,77.73,-3,1002,0.0000,0.0000
